,inputs,policies,policies_sent,labels
11,Owners cannot change any data but can read it all.,"[{'decision': 'allow', 'subject': 'owner', 'action': 'read', 'resource': 'data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'owner', 'action': 'change', 'resource': 'weight or pedometer monitoring details of his patient', 'condition': 'none', 'purpose': 'none'}]",owner is allowed to read data and owner is prohibited to change weight or pedometer monitoring details of his patient,3
12,A patient's DLHCP deletes a patient's personal representative by typing that person's MID.,"[{'decision': 'allow', 'subject': 'patients dlhcp', 'action': 'type', 'resource': 'persons mid', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'delete', 'resource': 'patients personal representative', 'condition': 'none', 'purpose': 'none'}]",patients dlhcp is authorized to type persons mid and patients personal representative is shall to be delete,6
13,"Bank managers can access, modify and delete customer's personal data for account management purposes, provided the customer gives their explicit consent.","[{'decision': 'allow', 'subject': 'bank manager', 'action': 'access', 'resource': 'customer personal data', 'purpose': 'account management', 'condition': 'none'}, {'decision': 'allow', 'subject': 'bank manager', 'action': 'modify', 'resource': 'customer personal data', 'purpose': 'account management', 'condition': 'customer gives explicit consent'}, {'decision': 'allow', 'subject': 'bank manager', 'action': 'delete', 'resource': 'customer personal data', 'purpose': 'account management', 'condition': 'customer gives explicit consent'}]","bank manager is allowed to access customer personal data for the purpose of account management and bank manager is able to modify customer personal data for the purpose of account management, if customer gives explicit consent and bank manager is allowed to delete customer personal data for the purpose of account management, if customer gives explicit consent",8
14,An HCP can remove a previously created lab procedure .,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'remove', 'resource': 'previously created lab procedure', 'condition': 'none', 'purpose': 'none'}]",hcp is allowed to remove previously created lab procedure,11
15,"Farm managers are permitted to access, update and delete crop records only during official working hours for the purpose of record accuracy.","[{'decision': 'allow', 'subject': 'farm manager', 'action': 'access', 'resource': 'crop record', 'purpose': 'record accuracy', 'condition': 'official working hours'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'update', 'resource': 'crop record', 'purpose': 'none', 'condition': 'official working hours'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'delete', 'resource': 'crop record', 'purpose': 'record accuracy', 'condition': 'official working hours'}]","farm manager is allowed to access crop record for the purpose of record accuracy, if official working hours and farm manager is authorized to update crop record if official working hours and farm manager is shall to delete crop record for the purpose of record accuracy, if official working hours",9
16,"The pharmacy staff are permitted to update the patient's prescription data after checking the validation from the system, but only when the doctor has confirmed with the corresponding prescription order.","[{'decision': 'allow', 'subject': 'pharmacy staff', 'action': 'update', 'resource': 'patient prescription data', 'purpose': 'none', 'condition': 'validation checked from system and doctor has confirmed prescription order'}]",pharmacy staff is allowed to update patient prescription data if validation checked from system and doctor has confirmed prescription order,11
17,Supervisor can not run write a verification use case.,"[{'decision': 'deny', 'subject': 'shipping rep', 'action': 'run', 'resource': 'write a verification use case', 'condition': 'none', 'purpose': 'none'}]",shipping rep is not able to run write a verification use case,1
18,"Only authorized lab technicians are permitted to access, modify or delete patient's pathological data for diagnostics purposes, provided they have received explicit consent from the patient.","[{'decision': 'allow', 'subject': 'authorized lab technician', 'action': 'access', 'resource': 'patient pathological data', 'purpose': 'diagnostics', 'condition': 'received explicit consent from the patient'}, {'decision': 'allow', 'subject': 'authorized lab technician', 'action': 'modify', 'resource': 'patient pathological data', 'purpose': 'diagnostics', 'condition': 'received explicit consent from the patient'}, {'decision': 'allow', 'subject': 'authorized lab technician', 'action': 'delete', 'resource': 'patient pathological data', 'purpose': 'none', 'condition': 'received explicit consent from the patient'}]","authorized lab technician is able to access patient pathological data for the purpose of diagnostics, if received explicit consent from the patient and authorized lab technician is able to modify patient pathological data for the purpose of diagnostics, if received explicit consent from the patient and authorized lab technician is shall to delete patient pathological data if received explicit consent from the patient",9
19,He can select a patient and then enter data.,"[{'decision': 'allow', 'subject': 'he', 'action': 'enter', 'resource': 'data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'he', 'action': 'select', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}]",he is able to enter data and he is unauthorized to select patient,0
20,"The system shall enable the administrator to add a new entry for a reason , or modify the reason name in an existing entry .","[{'decision': 'allow', 'subject': 'administrator', 'action': 'modify', 'resource': 'reason name in an existing entry', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'add', 'resource': 'new entry for a reason', 'condition': 'none', 'purpose': 'none'}]",administrator is allowed to modify reason name in an existing entry and administrator is allowed to add new entry for a reason,11
21,An LHCP views his message inbox.,"[{'decision': 'deny', 'subject': 'lhcp', 'action': 'view', 'resource': 'message inbox', 'condition': 'none', 'purpose': 'none'}]",lhcp is prohibited to view message inbox,0
22,The user can select a prescription from the calendar to read the prescription's details.,"[{'decision': 'allow', 'subject': 'user', 'action': 'select', 'resource': 'none', 'condition': 'none', 'purpose': 'read the prescriptions detail'}]",user is allowed to select for the purpose of read the prescriptions detail,7
23,"Human resource employees can alter employee data, but only for the purpose of adjusting payroll information, and only if they have received written approval from their supervisor.","[{'decision': 'allow', 'subject': 'human resource employee', 'action': 'alter', 'resource': 'employee data', 'purpose': 'none', 'condition': 'received written approval from their supervisor'}]",human resource employee is authorized to alter employee data if received written approval from their supervisor,9
24,He can report his blood pressure (systolic and diastolic) and glucose levels.,"[{'decision': 'allow', 'subject': 'he', 'action': 'report', 'resource': 'glucose level', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'he', 'action': 'report', 'resource': 'blood pressure', 'condition': 'none', 'purpose': 'none'}]",he is allowed to report glucose level and he is able to report blood pressure,11
25,In an electronic system we can allow residents to hook into the network at any time as long as they can view only their own data and cannot make arbitrary changes.,"[{'decision': 'allow', 'subject': 'none', 'action': 'hook', 'resource': 'resident', 'condition': 'none', 'purpose': 'network'}]",resident is able to be hook for the purpose of network,6
26,"Medical billing specialists, with the purpose of verifying insurance coverage and updating patient billing records, are allowed to access and modify patients' financial data provided that two-factor authentication has been successfully passed.","[{'decision': 'allow', 'subject': 'assigned academic advisor', 'action': 'access', 'resource': 'patient financial data', 'purpose': 'verifying insurance coverage and updating patient billing records', 'condition': 'two-factor authentication has been successfully passed'}, {'decision': 'allow', 'subject': 'medical billing specialist', 'action': 'modify', 'resource': 'patient financial data', 'purpose': 'verifying insurance coverage and updating patient billing records', 'condition': 'two-factor authentication has been successfully passed'}]","assigned academic advisor is able to access patient financial data for the purpose of verifying insurance coverage and updating patient billing records, if two-factor authentication has been successfully passed and medical billing specialist is allowed to modify patient financial data for the purpose of verifying insurance coverage and updating patient billing records, if two-factor authentication has been successfully passed",1
27,"The system shall enable the administrator to add a new entry for a reason , or modify the reason name in an existing entry .","[{'decision': 'allow', 'subject': 'administrator', 'action': 'modify', 'resource': 'reason name in an existing entry', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'data owner', 'action': 'add', 'resource': 'new entry for a reason', 'condition': 'none', 'purpose': 'none'}]",administrator is allowed to modify reason name in an existing entry and data owner is able to add new entry for a reason,1
28," ""Only authorized personnel can enter the server room outside of business hours.""","[{'decision': 'allow', 'subject': 'authorized personnel', 'action': 'enter', 'resource': 'none', 'condition': 'outside of business hour', 'purpose': 'none'}]",authorized personnel is able to enter if outside of business hour,7
29,The hcp patients do not have the ability to edit the patient's phone question and password.,"[{'decision': 'deny', 'subject': 'hcp patient', 'action': 'edit', 'resource': 'list of appointments for the patients he represent', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp patient', 'action': 'edit', 'resource': 'patients phone question', 'condition': 'none', 'purpose': 'none'}]",hcp patient is prohibited to edit list of appointments for the patients he represent and hcp patient is not able to edit patients phone question,3
30,In an electronic system we can allow residents to hook into the network at any time as long as they can view only their own data and cannot make arbitrary changes.,"[{'decision': 'deny', 'subject': 'resident', 'action': 'hook', 'resource': 'resident', 'condition': 'none', 'purpose': 'network'}]",resident is not able to hook resident for the purpose of network,0
31,An LHCP or UAP can add patients from his monitoring list.,"[{'decision': 'allow', 'subject': 'uap', 'action': 'cancel', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'add', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}]",uap is authorized to cancel patient and lhcp is allowed to add patient,2
32,The user (LHCP) selects a patient from the list of requested reports.,"[{'decision': 'allow', 'subject': 'sales associate', 'action': 'select', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}]",sales associate is authorized to select patient,1
33,The patient has authenticated himself or herself in the iTrust Medical Records system (UC3).,"[{'decision': 'allow', 'subject': 'none', 'action': 'authenticate', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}]",patient is allowed to be authenticate,6
34,HR Managers are permitted access to handle employee data files for administrative tasks during work hours.,"[{'decision': 'allow', 'subject': 'HR Manager', 'action': 'access', 'resource': 'employee data files', 'purpose': 'alternate visit', 'condition': 'during work hours'}]","HR Manager is authorized to access employee data files for the purpose of alternate visit, if during work hours",5
35,"For example, write a check use case should be invoked by (authorized to) clerk role.","[{'decision': 'allow', 'subject': 'clerk', 'action': 'invoke', 'resource': 'write a check use case', 'condition': 'none', 'purpose': 'none'}]",clerk is allowed to invoke write a check use case,11
36,"Software developers are permitted to access and modify the code repository during weekdays between 9 AM to 6 PM, only for the purpose of software development and enhancements.","[{'decision': 'allow', 'subject': 'software developer', 'action': 'access', 'resource': 'code repository', 'purpose': 'none', 'condition': 'during weekdays between 9 AM to 6 PM'}, {'decision': 'allow', 'subject': 'software developer', 'action': 'modify', 'resource': 'code repository', 'purpose': 'software development and enhancements', 'condition': 'during weekdays between 9 AM to 6 PM'}]","software developer is shall to access code repository if during weekdays between 9 AM to 6 PM and software developer is authorized to modify code repository for the purpose of software development and enhancements, if during weekdays between 9 AM to 6 PM",9
37,"Medical billing specialists, with the purpose of verifying insurance coverage and updating patient billing records, are allowed to access and modify patients' financial data provided that two-factor authentication has been successfully passed.","[{'decision': 'allow', 'subject': 'medical billing specialist', 'action': 'access', 'resource': 'patient financial data', 'purpose': 'verifying insurance coverage and updating patient billing records', 'condition': 'two-factor authentication has been successfully passed'}, {'decision': 'allow', 'subject': 'medical billing specialist', 'action': 'modify', 'resource': 'patient financial data', 'purpose': 'verifying insurance coverage and updating patient billing records', 'condition': 'none'}]","medical billing specialist is allowed to access patient financial data for the purpose of verifying insurance coverage and updating patient billing records, if two-factor authentication has been successfully passed and medical billing specialist is authorized to modify patient financial data for the purpose of verifying insurance coverage and updating patient billing records",8
38,To prevent unauthorized access only system administrators can modify the server settings.,"[{'decision': 'allow', 'subject': 'system administrator', 'action': 'modify', 'resource': 'server setting', 'condition': 'none', 'purpose': 'none'}]",system administrator is able to modify server setting,9
39,Pharmacy technicians are allowed to access patient medication records for the purpose of drug dispensing under the condition that the pharmacist has validated the prescription.,"[{'decision': 'allow', 'subject': 'relationship manager', 'action': 'access', 'resource': 'patient medication record', 'purpose': 'drug dispensing', 'condition': 'pharmacist has validated the prescription'}]","relationship manager is shall to access patient medication record for the purpose of drug dispensing, if pharmacist has validated the prescription",1
40,The iTrust HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,"[{'decision': 'allow', 'subject': 'itrust hcp', 'action': 'resolve', 'resource': 'himself or herself', 'condition': 'none', 'purpose': 'none'}]",itrust hcp is allowed to resolve himself or herself,2
41,"Bank managers can access, modify and delete customer's personal data for account management purposes, provided the customer gives their explicit consent.","[{'decision': 'allow', 'subject': 'bank manager', 'action': 'access', 'resource': 'customer personal data', 'purpose': 'account management', 'condition': 'customer gives explicit consent'}, {'decision': 'allow', 'subject': 'we', 'action': 'modify', 'resource': 'customer personal data', 'purpose': 'account management', 'condition': 'customer gives explicit consent'}, {'decision': 'allow', 'subject': 'bank manager', 'action': 'delete', 'resource': 'customer personal data', 'purpose': 'account management', 'condition': 'customer gives explicit consent'}]","bank manager is allowed to access customer personal data for the purpose of account management, if customer gives explicit consent and we is authorized to modify customer personal data for the purpose of account management, if customer gives explicit consent and bank manager is allowed to delete customer personal data for the purpose of account management, if customer gives explicit consent",1
42,"The input data, a timestamp, and the fact that the status was reported by ""case manager"" and their MID are saved.","[{'decision': 'allow', 'subject': 'none', 'action': 'save', 'resource': 'fact', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'save', 'resource': 'timestamp', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'save', 'resource': 'mid', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'save', 'resource': 'input data', 'condition': 'none', 'purpose': 'none'}]",fact is allowed to be save and timestamp is shall to be save and mid is able to be save and input data is shall to be save,11
43,"Medical billing personnel are permitted to access patient billing histories for billing-related queries only, provided that the access does not occur outside regular working hours.","[{'decision': 'allow', 'subject': 'medical billing personnel', 'action': 'access', 'resource': 'patient billing history', 'purpose': 'diagnostics', 'condition': 'access does not occur outside regular working hours'}]","medical billing personnel is shall to access patient billing history for the purpose of diagnostics, if access does not occur outside regular working hours",5
44,A prescription list is then displayed.,"[{'decision': 'allow', 'subject': 'none', 'action': 'display', 'resource': 'code', 'condition': 'none', 'purpose': 'none'}]",code is authorized to be display,3
45,Pharmacy technicians are allowed to access patient medication records for the purpose of drug dispensing under the condition that the pharmacist has validated the prescription.,"[{'decision': 'allow', 'subject': 'pharmacy technician', 'action': 'access', 'resource': 'patient medication record', 'purpose': 'none', 'condition': 'pharmacist has validated the prescription'}]",pharmacy technician is shall to access patient medication record if pharmacist has validated the prescription,9
46,The HCP can choose to graph the height or weight of the patient.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'graph', 'resource': 'height of the patient', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hcp', 'action': 'graph', 'resource': 'weight of the patient', 'condition': 'none', 'purpose': 'maintaining records'}]",hcp is authorized to graph height of the patient and hcp is shall to graph weight of the patient for the purpose of maintaining records,5
47,This crucial task must not be undertaken by this third user for his safety.,"[{'decision': 'deny', 'subject': 'third user', 'action': 'highlight', 'resource': 'critical task', 'condition': 'none', 'purpose': 'his safety'}]",third user is unauthorized to highlight critical task for the purpose of his safety,2
48,"Pharmacists are allowed to update drug inventory information in the system for inventory management purposes, only during pharmacy operating hours.","[{'decision': 'allow', 'subject': 'pharmacist', 'action': 'update', 'resource': 'appointment type name', 'purpose': 'inventory management', 'condition': 'during pharmacy operating hours'}]","pharmacist is authorized to update appointment type name for the purpose of inventory management, if during pharmacy operating hours",3
49,To prevent unauthorized access only system administrators can modify the server settings.,"[{'decision': 'allow', 'subject': 'billing department personnel', 'action': 'modify', 'resource': 'server setting', 'condition': 'none', 'purpose': 'prevent unauthorized access'}]",billing department personnel is able to modify server setting for the purpose of prevent unauthorized access,1
50,The LHCP is presented with a screen upon which he or she can choose a date range.,"[{'decision': 'allow', 'subject': 'none', 'action': 'present', 'resource': 'lhcp', 'condition': 'acquisition approval from the team leader', 'purpose': 'none'}]",lhcp is allowed to be present if acquisition approval from the team leader,4
51,"If a patient or mental health representative has not taken an office job satisfaction surveys for an office visit yet, the patient may not choose to perform the survey for an office visit ( if the survey has already been taken, the patient or a medical manager will not have the ability to take the survey and view their already submitted survey ) ( 3 ).","[{'decision': 'deny', 'subject': 'medical manager', 'action': 'take', 'resource': 'survey', 'condition': 'survey has already been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'survey has already been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'view', 'resource': 'submitted survey', 'condition': 'survey has already been takend', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'perform', 'resource': 'survey', 'condition': 'patient or mental health representative has not taken an office job satisfaction surveys for an office visit yet', 'purpose': 'office visit'}, {'decision': 'deny', 'subject': 'medical manager', 'action': 'view', 'resource': 'submitted survey', 'condition': 'survey has already been takend', 'purpose': 'none'}]","medical manager is shall not to take survey if survey has already been taken and patient is unauthorized to take survey if survey has already been taken and patient is shall not to view submitted survey if survey has already been takend and patient is not able to perform survey for the purpose of office visit, if patient or mental health representative has not taken an office job satisfaction surveys for an office visit yet and medical manager is prohibited to view submitted survey if survey has already been takend",11
52,"For example, write a check use case should be invoked by (authorized to) clerk role.","[{'decision': 'allow', 'subject': 'clerk', 'action': 'invoke', 'resource': 'write a check use case', 'condition': 'none', 'purpose': 'update  information'}]",clerk is authorized to invoke write a check use case for the purpose of update  information,5
53,"If the requested appointment time does conflict with an existing appointments, the patient is presented with a list of the three next non-overlapping available appointment times within 7 days of the requested date.","[{'decision': 'deny', 'subject': 'none', 'action': 'present', 'resource': 'list of the three next nonoverlapping available appointment time', 'condition': 'requested appointment time does conflict with an existing appointment', 'purpose': 'none'}]",list of the three next nonoverlapping available appointment time is shall not to be present if requested appointment time does conflict with an existing appointment,0
54," ""Any user with administrative privileges can modify system configurations.""","[{'decision': 'allow', 'subject': 'user with administrative privilege', 'action': 'paticipate', 'resource': 'system configuration', 'condition': 'none', 'purpose': 'none'}]",user with administrative privilege is able to paticipate system configuration,2
55,Supervisor can not run write a verification use case.,"[{'decision': 'deny', 'subject': 'supervisor', 'action': 'run', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}]",supervisor is shall not to run,7
56,"All users can write to a higher classification (A ""secret"" user can post information to a Top Secret resource).","[{'decision': 'allow', 'subject': 'hierarchy of executive', 'action': 'write', 'resource': 'higher classified document', 'condition': 'none', 'purpose': 'none'}]",hierarchy of executive is shall to write higher classified document,1
57,"After a message is sent, the LHCP is directed to to his or her message outbox.","[{'decision': 'allow', 'subject': 'none', 'action': 'direct', 'resource': 'lhcp', 'condition': 'system incident or maintenance event in progress', 'purpose': 'none'}]",lhcp is authorized to be direct if system incident or maintenance event in progress,4
58,there is no combination between roles requiring that one class with those names allows both access and assign the resource externalgrades.,"[{'decision': 'deny', 'subject': 'class with those name', 'action': 'assign', 'resource': 'externalgrade', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'class with those name', 'action': 'access', 'resource': 'externalgrade', 'condition': 'expressly permitted by the farm manager', 'purpose': 'none'}]",class with those name is not able to assign externalgrade and class with those name is shall not to access externalgrade if expressly permitted by the farm manager,4
59,"An administrator enters a LHCP, ER, or public health agent as a user of iTrust Medical Records system, initially only the name and email are provided.","[{'decision': 'allow', 'subject': 'administrator', 'action': 'enter', 'resource': 'er', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'enter', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'enter', 'resource': 'public health agent', 'condition': 'none', 'purpose': 'none'}]",administrator is shall to enter er and administrator is shall to enter and administrator is able to enter public health agent,7
60,To ensure privacy only the account owner should have access to their personal information.,"[{'decision': 'allow', 'subject': 'account owner', 'action': 'access', 'resource': 'none', 'condition': 'none', 'purpose': 'ensure privacy'}]",account owner is allowed to access for the purpose of ensure privacy,7
61,"If this survey has already been carried out, the patient or personal health officer will not be able to carry out the survey or view the previously submitted survey.","[{'decision': 'deny', 'subject': 'patient', 'action': 'view', 'resource': 'none', 'condition': 'survey has already been carried out', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'personal health officer', 'action': 'view', 'resource': 'previously submitted survey', 'condition': 'survey has already been carried out', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'carry out', 'resource': 'survey', 'condition': 'survey has already been carried out', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'personal health officer', 'action': 'carry out', 'resource': 'survey', 'condition': 'survey has already been carried out', 'purpose': 'none'}]",patient is unauthorized to view if survey has already been carried out and personal health officer is shall not to view previously submitted survey if survey has already been carried out and patient is prohibited to carry out survey if survey has already been carried out and personal health officer is not able to carry out survey if survey has already been carried out,7
62,An LHCP has authenticated him or herself in the iTrust Medical Records system (UC3).,"[{'decision': 'allow', 'subject': 'lhcp', 'action': 'export', 'resource': 'himself', 'condition': 'none', 'purpose': 'none'}]",lhcp is able to export himself,2
63,"If the Student selected “Create a Schedule”, the Create  a Schedule subflow is executed.","[{'decision': 'allow', 'subject': 'none', 'action': 'execute', 'resource': 'create a schedule subflow', 'condition': 'none', 'purpose': 'none'}]",create a schedule subflow is shall to be execute,8
64,"Reviews can either be submitted via a webpage, or filled in off-line and emailed.","[{'decision': 'allow', 'subject': 'planner', 'action': 'submit', 'resource': 'review', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'fill in', 'resource': 'review', 'condition': 'none', 'purpose': 'none'}]",planner is shall to submit review and review is allowed to be fill in,1
65,"In the current paper system, all the information stored about a resident is accessible to the resident by arrangement with the manager.","[{'decision': 'allow', 'subject': 'none', 'action': 'access', 'resource': 'information stored about a resident', 'condition': 'none', 'purpose': 'none'}]",information stored about a resident is authorized to be access,6
66,"Only authorized lab technicians are permitted to access, modify or delete patient's pathological data for diagnostics purposes, provided they have received explicit consent from the patient.","[{'decision': 'allow', 'subject': 'authorized lab technician', 'action': 'access', 'resource': 'patient pathological data', 'purpose': 'diagnostics', 'condition': 'received explicit consent from the patient'}, {'decision': 'allow', 'subject': 'authorized lab technician', 'action': 'modify', 'resource': 'patient pathological data', 'purpose': 'diagnostics', 'condition': 'none'}, {'decision': 'allow', 'subject': 'authorized lab technician', 'action': 'delete', 'resource': 'patient pathological data', 'purpose': 'diagnostics', 'condition': 'received explicit consent from the patient'}]","authorized lab technician is able to access patient pathological data for the purpose of diagnostics, if received explicit consent from the patient and authorized lab technician is shall to modify patient pathological data for the purpose of diagnostics and authorized lab technician is shall to delete patient pathological data for the purpose of diagnostics, if received explicit consent from the patient",8
67,"HR managers can access, view, and modify employee personal records for administrative purposes under the condition that the employee involved has given explicit consent.","[{'decision': 'allow', 'subject': 'HR manager', 'action': 'access', 'resource': 'employee personal records', 'purpose': 'administrative purposes', 'condition': 'none'}, {'decision': 'allow', 'subject': 'HR manager', 'action': 'view', 'resource': 'employee personal records', 'purpose': 'administrative purposes', 'condition': 'employee has given explicit consent'}, {'decision': 'allow', 'subject': 'HR manager', 'action': 'modify', 'resource': 'employee personal records', 'purpose': 'administrative purposes', 'condition': 'employee has given explicit consent'}]","HR manager is authorized to access employee personal records for the purpose of administrative purposes and HR manager is able to view employee personal records for the purpose of administrative purposes, if employee has given explicit consent and HR manager is able to modify employee personal records for the purpose of administrative purposes, if employee has given explicit consent",8
68,"Medical records team are allowed to access, view, and modify patients' confidential information strictly for billing and insurance-related purposes, only if they have completed mandatory compliance training.","[{'decision': 'allow', 'subject': 'medical records team', 'action': 'access', 'resource': 'patients confidential information', 'purpose': 'billing and insurance-related purposes', 'condition': 'completed mandatory compliance training'}, {'decision': 'allow', 'subject': 'medical records team', 'action': 'view', 'resource': 'patients confidential information', 'purpose': 'billing and insurance-related purposes', 'condition': 'completed mandatory compliance training'}, {'decision': 'allow', 'subject': 'medical records team', 'action': 'be restored', 'resource': 'patients confidential information', 'purpose': 'billing and insurance-related purposes', 'condition': 'completed mandatory compliance training'}]","medical records team is authorized to access patients confidential information for the purpose of billing and insurance-related purposes, if completed mandatory compliance training and medical records team is allowed to view patients confidential information for the purpose of billing and insurance-related purposes, if completed mandatory compliance training and medical records team is authorized to be restored patients confidential information for the purpose of billing and insurance-related purposes, if completed mandatory compliance training",2
69,"HR managers can access, view, and modify employee personal records for administrative purposes under the condition that the employee involved has given explicit consent.","[{'decision': 'allow', 'subject': 'HR manager', 'action': 'access', 'resource': 'employee personal records', 'purpose': 'administrative purposes', 'condition': 'employee has given explicit consent'}, {'decision': 'deny', 'subject': 'HR manager', 'action': 'view', 'resource': 'employee personal records', 'purpose': 'administrative purposes', 'condition': 'employee has given explicit consent'}, {'decision': 'allow', 'subject': 'HR manager', 'action': 'modify', 'resource': 'employee personal records', 'purpose': 'administrative purposes', 'condition': 'employee has given explicit consent'}]","HR manager is allowed to access employee personal records for the purpose of administrative purposes, if employee has given explicit consent and HR manager is shall not to view employee personal records for the purpose of administrative purposes, if employee has given explicit consent and HR manager is shall to modify employee personal records for the purpose of administrative purposes, if employee has given explicit consent",0
