,inputs,policies,policies_sent,labels
13,A director cannot approve projects that he has reviewed or submitted.,"[{'decision': 'deny', 'subject': 'director', 'action': 'approve', 'resource': 'projects that he has submitted', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'director', 'action': 'approve', 'resource': 'projects that he has reviewed', 'condition': 'none', 'purpose': 'authors can improve their paper'}]",director is not able to approve projects that he has submitted and director is prohibited to approve projects that he has reviewed for the purpose of authors can improve their paper,5
14,"However, there is no match of roles that indicate that the user with these roles also receives and consumes the externalgrades for the purpose of investigating.","[{'decision': 'deny', 'subject': 'user', 'action': 'receive', 'resource': 'none', 'condition': 'none', 'purpose': 'investigating'}, {'decision': 'deny', 'subject': 'user', 'action': 'consume', 'resource': 'externalgrade', 'condition': 'none', 'purpose': 'investigating'}]",user is shall not to receive for the purpose of investigating and user is not able to consume externalgrade for the purpose of investigating,7
15,"Human resource managers can access, modify, or delete employee records in the central management system for verification purposes only during official business hours.","[{'decision': 'allow', 'subject': 'human resource manager', 'action': 'access', 'resource': 'employee record', 'purpose': 'verification', 'condition': 'during official business hours'}, {'decision': 'deny', 'subject': 'human resource manager', 'action': 'modify', 'resource': 'employee record', 'purpose': 'verification', 'condition': 'during official business hours'}, {'decision': 'allow', 'subject': 'human resource manager', 'action': 'delete', 'resource': 'employee record', 'purpose': 'verification', 'condition': 'during official business hours'}]","human resource manager is shall to access employee record for the purpose of verification, if during official business hours and human resource manager is unauthorized to modify employee record for the purpose of verification, if during official business hours and human resource manager is able to delete employee record for the purpose of verification, if during official business hours",0
16,"Farm managers may access, update, and delete livestock records for the purpose of maintaining accurate health and inventory information, provided that the changes are reviewed and approved by the farm owner.","[{'decision': 'allow', 'subject': 'farm manager', 'action': 'access', 'resource': 'livestock record', 'purpose': 'maintaining accurate health and inventory information', 'condition': 'withdrawal exceeding $5000'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'update', 'resource': 'livestock record', 'purpose': 'maintaining accurate health and inventory information', 'condition': 'changes are reviewed and approved by the farm owner'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'delete', 'resource': 'livestock record', 'purpose': 'maintaining accurate health and inventory information', 'condition': 'changes are reviewed and approved by the farm owner'}]","farm manager is authorized to access livestock record for the purpose of maintaining accurate health and inventory information, if withdrawal exceeding $5000 and farm manager is allowed to update livestock record for the purpose of maintaining accurate health and inventory information, if changes are reviewed and approved by the farm owner and farm manager is allowed to delete livestock record for the purpose of maintaining accurate health and inventory information, if changes are reviewed and approved by the farm owner",4
17,"Only designated field supervisors are authorized to access and modify proprietary crop yield reports, provided such action is necessary for seasonal review procedures and does not occur outside of designated office-hours.","[{'decision': 'allow', 'subject': 'designated field supervisor', 'action': 'access', 'resource': 'proprietary crop yield report', 'purpose': 'seasonal review procedures', 'condition': 'does not occur outside of designated office-hours'}]","designated field supervisor is able to access proprietary crop yield report for the purpose of seasonal review procedures, if does not occur outside of designated office-hours",10
18,HCP must enter the MID of a patient and then enter or edit demographic information with the exception of the patient's security question or password according to data format 6.1.,"[{'decision': 'deny', 'subject': 'hcp', 'action': 'enter', 'resource': 'patients password', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hcp', 'action': 'enter', 'resource': 'mid of a patient', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hcp', 'action': 'enter', 'resource': 'demographic information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'enter', 'resource': 'patients security question', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hcp', 'action': 'edit', 'resource': 'demographic information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'edit', 'resource': 'patients security question', 'condition': 'none', 'purpose': 'auditing and report generation'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'edit', 'resource': 'patients password', 'condition': 'none', 'purpose': 'none'}]",hcp is unauthorized to enter patients password and hcp is able to enter mid of a patient and hcp is able to enter demographic information and hcp is unauthorized to enter patients security question and hcp is able to edit demographic information and hcp is shall not to edit patients security question for the purpose of auditing and report generation and hcp is prohibited to edit patients password,5
19,The Patient requests the closest hospitals so that only nearby hospitals are presented.,"[{'decision': 'allow', 'subject': 'patient', 'action': 'accumulate', 'resource': 'closest hospital', 'condition': 'none', 'purpose': 'none'}]",patient is shall to accumulate closest hospital,2
20,"In the Department of Agriculture, only employees with the title field scientist can edit and delete information in genetic research field databases while they are located in a secured dedicated center and within office hours for the purpose of updating the database with recent findings.","[{'decision': 'allow', 'subject': 'field scientist', 'action': 'edit', 'resource': 'genetic research field database', 'purpose': 'updating the database with recent findings', 'condition': 'they are located in a secured dedicated center and within office hours'}, {'decision': 'allow', 'subject': 'field scientist', 'action': 'update', 'resource': 'genetic research field database', 'purpose': 'updating the database with recent findings', 'condition': 'they are located in a secured dedicated center and within office hours'}]","field scientist is able to edit genetic research field database for the purpose of updating the database with recent findings, if they are located in a secured dedicated center and within office hours and field scientist is shall to update genetic research field database for the purpose of updating the database with recent findings, if they are located in a secured dedicated center and within office hours",2
21,"If someone was still called PC - chairman or administrator, he can never see paper instead of paper - review - members with whom he or she is in conflict.","[{'decision': 'deny', 'subject': 'person', 'action': 'see', 'resource': 'information of a loinc code', 'condition': 'person was still called pc chairman or administrator', 'purpose': 'none'}]",person is not able to see information of a loinc code if person was still called pc chairman or administrator,3
22,"Only approved research personnel are permitted to access, use, and modify field-study data for the purpose of advancing agricultural study, provided the data does not contain confidential farmer's information.","[{'decision': 'allow', 'subject': 'approved research personnel', 'action': 'access', 'resource': 'field-study data', 'purpose': 'advancing agricultural study', 'condition': 'none'}, {'decision': 'allow', 'subject': 'approved research personnel', 'action': 'use', 'resource': 'field-study data', 'purpose': 'advancing agricultural study', 'condition': ""data does not contain confidential farmer's information""}, {'decision': 'allow', 'subject': 'approved research personnel', 'action': 'modify', 'resource': 'field-study data', 'purpose': 'advancing agricultural study', 'condition': ""data does not contain confidential farmer's information""}]","approved research personnel is able to access field-study data for the purpose of advancing agricultural study and approved research personnel is shall to use field-study data for the purpose of advancing agricultural study, if data does not contain confidential farmer's information and approved research personnel is allowed to modify field-study data for the purpose of advancing agricultural study, if data does not contain confidential farmer's information",8
23,The student is added to the system.,"[{'decision': 'allow', 'subject': 'hcp patient', 'action': 'add', 'resource': 'student', 'condition': 'none', 'purpose': 'none'}]",hcp patient is shall to add student,1
24,"Banking advisors can access customer personal profiles for credit check if the customer has initiated a loan application, while bank tellers have no access to these profiles under any conditions.","[{'decision': 'allow', 'subject': 'banking advisor', 'action': 'access', 'resource': 'customer personal profile', 'purpose': 'credit check', 'condition': 'none'}, {'decision': 'deny', 'subject': 'bank teller', 'action': 'access', 'resource': 'customer personal profile', 'purpose': 'none', 'condition': 'none'}]",banking advisor is able to access customer personal profile for the purpose of credit check and bank teller is prohibited to access customer personal profile,8
25,The administrator can select a particular pair of drugs.,"[{'decision': 'allow', 'subject': 'administrator', 'action': 'select', 'resource': 'particular pair of drug', 'condition': 'none', 'purpose': 'avoid pollution of demo data'}]",administrator is authorized to select particular pair of drug for the purpose of avoid pollution of demo data,5
26,You can submit reviews and find out what happens.,"[{'decision': 'allow', 'subject': 'you', 'action': 'find out', 'resource': 'what happen', 'condition': 'none', 'purpose': 'none'}]",you is allowed to find out what happen,10
27,All members of Faculty can Assign both InternalGrades and ExternalGrades.,"[{'decision': 'allow', 'subject': 'members of faculty', 'action': 'append', 'resource': 'externalgrade', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'members of faculty', 'action': 'assign', 'resource': 'internalgrade', 'condition': 'none', 'purpose': 'none'}]",members of faculty is able to append externalgrade and members of faculty is allowed to assign internalgrade,2
28,"Only those personnel from the Academic records department can modify, update or delete students' academic records for the purpose of fixing errors or updating grades, as long as such personnel have received due authorization from their departmental head and it is within working hours.","[{'decision': 'allow', 'subject': 'personnel from academic records department', 'action': 'modify', 'resource': 'student academic record', 'purpose': 'fixing errors or updating grades', 'condition': 'received authorization from departmental head and it is within working hours'}, {'decision': 'allow', 'subject': 'personnel from academic records department', 'action': 'update', 'resource': 'student academic record', 'purpose': 'fixing errors or updating grades', 'condition': 'received authorization from departmental head and it is within working hours'}, {'decision': 'allow', 'subject': 'personnel from academic records department', 'action': 'delete', 'resource': 'student academic record', 'purpose': 'fixing errors or updating grades', 'condition': 'received authorization from departmental head and it is within working hours'}]","personnel from academic records department is able to modify student academic record for the purpose of fixing errors or updating grades, if received authorization from departmental head and it is within working hours and personnel from academic records department is able to update student academic record for the purpose of fixing errors or updating grades, if received authorization from departmental head and it is within working hours and personnel from academic records department is allowed to delete student academic record for the purpose of fixing errors or updating grades, if received authorization from departmental head and it is within working hours",11
29,"Pharmacy system cannot read medical records, although it could read medical records databases.","[{'decision': 'allow', 'subject': 'pharmacy system', 'action': 'read', 'resource': 'medical records database', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'pharmacy system', 'action': 'read', 'resource': 'medical record', 'condition': 'patient gives prior written consent', 'purpose': 'none'}]",pharmacy system is allowed to read medical records database and pharmacy system is shall not to read medical record if patient gives prior written consent,4
30,"( If a surgeon or personal representative has not taken an office day satisfaction survey from an office visit date ) the patient may not take a survey for an office visit ( if the measurement has never been taken, the patient or individual health representative will not have the ability to take the survey or view no previously requested survey ).","[{'decision': 'deny', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'none', 'purpose': 'office visit'}, {'decision': 'deny', 'subject': 'individual health representative', 'action': 'view', 'resource': 'previously requested survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'view', 'resource': 'previously requested survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'individual health representative', 'action': 'take', 'resource': 'survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}]",patient is unauthorized to take survey for the purpose of office visit and individual health representative is shall not to view previously requested survey if measurement has never been taken and patient is unauthorized to view previously requested survey if measurement has never been taken and patient is shall not to take survey if measurement has never been taken and individual health representative is prohibited to take survey if measurement has never been taken,8
31,"The representative opens the message to which he or she wishes to reply, and then clicks the reply link above the message text.","[{'decision': 'deny', 'subject': 'representative', 'action': 'click', 'resource': 'reply link', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'representative', 'action': 'open', 'resource': 'message', 'condition': 'none', 'purpose': 'reply'}]",representative is not able to click reply link and representative is able to open message for the purpose of reply,0
32,"Bank employees in the mortgage department can access, review, and modify customers' loan application data when necessary for loan approval, but they cannot access the customers' personal accounts or savings account information.","[{'decision': 'allow', 'subject': 'bank employee in mortgage department', 'action': 'access', 'resource': 'loan application data', 'purpose': 'loan approval', 'condition': 'none'}, {'decision': 'allow', 'subject': 'bank employee in mortgage department', 'action': 'review', 'resource': 'loan application data', 'purpose': 'loan approval', 'condition': 'none'}, {'decision': 'allow', 'subject': 'bank employee in mortgage department', 'action': 'modify', 'resource': 'loan application data', 'purpose': 'loan approval', 'condition': 'none'}, {'decision': 'deny', 'subject': 'bank employee in mortgage department', 'action': 'access', 'resource': 'customers personal account', 'purpose': 'none', 'condition': 'none'}, {'decision': 'deny', 'subject': 'bank employee in mortgage department', 'action': 'access', 'resource': 'savings account information', 'purpose': 'none', 'condition': 'none'}]",bank employee in mortgage department is allowed to access loan application data for the purpose of loan approval and bank employee in mortgage department is authorized to review loan application data for the purpose of loan approval and bank employee in mortgage department is allowed to modify loan application data for the purpose of loan approval and bank employee in mortgage department is unauthorized to access customers personal account and bank employee in mortgage department is prohibited to access savings account information,11
33,"The admin must specify a specialty for a new LHCP (general physician, heart surgeon, OB-GYN, pediatrician, surgeon) and for a new LT ( blood, tissue, or general).","[{'decision': 'allow', 'subject': 'none', 'action': 'specify', 'resource': 'specialty for a new lhcp', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'admin', 'action': 'specify', 'resource': 'specialty for a new lt', 'condition': 'none', 'purpose': 'none'}]",specialty for a new lhcp is able to be specify and admin is allowed to specify specialty for a new lt,6
34,Banking officers are allowed to view and edit customer records in the banking database for the purpose of verifying and updating customer information if the client has provided prior consent.,"[{'decision': 'allow', 'subject': 'banking officer', 'action': 'view', 'resource': 'customer record', 'purpose': 'verifying and updating customer information', 'condition': 'client has provided prior consent'}, {'decision': 'allow', 'subject': 'banking officer', 'action': 'edit', 'resource': 'customer record', 'purpose': 'verifying and updating customer information', 'condition': 'obtain necessary authorization beforehand'}]","banking officer is shall to view customer record for the purpose of verifying and updating customer information, if client has provided prior consent and banking officer is able to edit customer record for the purpose of verifying and updating customer information, if obtain necessary authorization beforehand",4
35,An HCP chooses to document  or edit  an office visit.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'edit', 'resource': 'office visit', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hcp', 'action': 'document', 'resource': 'office visit', 'condition': 'business hours', 'purpose': 'none'}]",hcp is able to edit office visit and hcp is able to document office visit if business hours,4
36,"The senior manager can approve the financial transactions above 10,000 USD only for the purpose of business development, and only between 9.00 am - 6.00 pm on business days.","[{'decision': 'allow', 'subject': 'senior manager', 'action': 'set', 'resource': 'financial transactions', 'purpose': 'business development', 'condition': 'transaction is above 10,000 USD and time is between 9.00 am - 6.00 pm on business days'}]","senior manager is allowed to set financial transactions for the purpose of business development, if transaction is above 10,000 USD and time is between 9.00 am - 6.00 pm on business days",2
37,"Only authorized administration staff can access, edit, or delete student grades within the education database system for purpose of grade updates or corrections when necessary and upon student or lecturer request.","[{'decision': 'allow', 'subject': 'authorized administration staff', 'action': 'access', 'resource': 'student grades', 'purpose': 'grade updates or corrections', 'condition': 'necessary and upon student or lecturer request'}, {'decision': 'allow', 'subject': 'authorized administration staff', 'action': 'edit', 'resource': 'student grades', 'purpose': 'grade updates or corrections', 'condition': 'necessary and upon student or lecturer request'}, {'decision': 'deny', 'subject': 'authorized administration staff', 'action': 'delete', 'resource': 'student grades', 'purpose': 'grade updates or corrections', 'condition': 'necessary and upon student or lecturer request'}]","authorized administration staff is allowed to access student grades for the purpose of grade updates or corrections, if necessary and upon student or lecturer request and authorized administration staff is allowed to edit student grades for the purpose of grade updates or corrections, if necessary and upon student or lecturer request and authorized administration staff is shall not to delete student grades for the purpose of grade updates or corrections, if necessary and upon student or lecturer request",0
38,"The user selects a laboratory procedure from the calendar to read its details by clicking the ""Read Details"" link beside or below the LOINC code displayed for the laboratory procedure, and then the details for the laboratory procedure shall be displayed in a new page, including laboratory procedure code, status, commentary, results, and office visit date when the laboratory procedure was ordered.","[{'decision': 'allow', 'subject': 'user', 'action': 'select', 'resource': 'laboratory procedure', 'condition': 'none', 'purpose': 'read its detail'}, {'decision': 'allow', 'subject': 'authorized academic staff', 'action': 'click', 'resource': 'read details link', 'condition': 'none', 'purpose': 'none'}]",user is allowed to select laboratory procedure for the purpose of read its detail and authorized academic staff is allowed to click read details link,1
39,"If someone was still called PC - chairman or administrator, he can never see paper instead of paper - review - members with whom he or she is in conflict.","[{'decision': 'allow', 'subject': 'person', 'action': 'see', 'resource': 'paper', 'condition': 'person was still called pc chairman or administrator', 'purpose': 'none'}]",person is authorized to see paper if person was still called pc chairman or administrator,0
40,A patient or personal health representative  or LHCP  chooses to view prescription reports.,"[{'decision': 'allow', 'subject': 'patient', 'action': 'view', 'resource': 'prescription report', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'personal health representative', 'action': 'view', 'resource': 'prescription report', 'condition': 'none', 'purpose': 'none'}]",patient is allowed to view prescription report and personal health representative is allowed to view prescription report,10
41,"If this curriculum is different for students, teachers are not allowed to separate subjects and award grades.","[{'decision': 'deny', 'subject': 'teacher', 'action': 'award', 'resource': 'grade', 'condition': 'curriculum is different for student', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'teacher', 'action': 'seperate', 'resource': 'subject', 'condition': 'none', 'purpose': 'none'}]",teacher is not able to award grade if curriculum is different for student and teacher is prohibited to seperate subject,8
42,The HCP selects a patient by typing in the MID of the patient .,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'select', 'resource': 'patient', 'condition': 'none', 'purpose': 'management and maintenance'}]",hcp is shall to select patient for the purpose of management and maintenance,5
43,The patient chooses the immunization for which to report the adverse event.,"[{'decision': 'allow', 'subject': 'patient', 'action': 'choose', 'resource': 'none', 'condition': 'none', 'purpose': 'report the adverse event'}]",patient is shall to choose for the purpose of report the adverse event,7
44,"IT administrators are allowed to access, modify, and delete system configurations only during maintenance periods to ensure system stability and security.","[{'decision': 'allow', 'subject': 'IT administrator', 'action': 'access', 'resource': 'system configuration', 'purpose': 'ensure system stability and security', 'condition': 'only during maintenance periods'}, {'decision': 'allow', 'subject': 'IT administrator', 'action': 'modify', 'resource': 'system configuration', 'purpose': 'ensure system stability and security', 'condition': 'only during maintenance periods'}, {'decision': 'allow', 'subject': 'IT administrator', 'action': 'delete', 'resource': 'system configuration', 'purpose': 'ensure system stability and security', 'condition': 'none'}]","IT administrator is allowed to access system configuration for the purpose of ensure system stability and security, if only during maintenance periods and IT administrator is authorized to modify system configuration for the purpose of ensure system stability and security, if only during maintenance periods and IT administrator is able to delete system configuration for the purpose of ensure system stability and security",8
45,"If this is the case, then the reviews of the other reviewers for this paper are copied into the reviewer’s directory.","[{'decision': 'allow', 'subject': 'none', 'action': 'copy', 'resource': 'reviews of the other reviewer', 'condition': 'none', 'purpose': 'none'}]",reviews of the other reviewer is able to be copy,8
46,The HCP can edit the patient according to data format.,"[{'decision': 'allow', 'subject': 'none', 'action': 'edit', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}]",patient is allowed to be edit,6
47,Only employees belonging to the HR department can access the employees' personal records for the purpose of salary allocation if the employee has completed one month in the organization.,"[{'decision': 'allow', 'subject': 'HR department employee', 'action': 'access', 'resource': 'none', 'purpose': 'salary allocation', 'condition': 'employee has completed one month in the organisation'}]","HR department employee is able to access for the purpose of salary allocation, if employee has completed one month in the organisation",7
48,"System displays the details for the appointment in a new page, including the appointment type, the appointment date and start time, comment, and the name of either the patient (only for the user being an LHCP) or the LHCP (only for the user being a patient).","[{'decision': 'allow', 'subject': 'system', 'action': 'display', 'resource': 'appointment date and start time', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'system', 'action': 'display', 'resource': 'appointment type', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'system', 'action': 'display', 'resource': 'details for the appointment', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'system', 'action': 'display', 'resource': 'comment', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'system', 'action': 'display', 'resource': 'name of either the patient or the lhcp', 'condition': 'none', 'purpose': 'none'}]",system is able to display appointment date and start time and system is allowed to display appointment type and system is allowed to display details for the appointment and system is allowed to display comment and system is allowed to display name of either the patient or the lhcp,11
49,Only accountants or higher-ranked financial employees can alter or update financial documents during regular business hours for the purpose of ensuring accuracy and compliance after an explicit request is made.,"[{'decision': 'allow', 'subject': 'accountant', 'action': 'alter', 'resource': 'financial document', 'purpose': 'ensuring accuracy and compliance', 'condition': 'an explicit request is made during regular business hours'}, {'decision': 'allow', 'subject': 'higher-ranked financial employee', 'action': 'alter', 'resource': 'financial document', 'purpose': 'ensuring accuracy and compliance', 'condition': 'an explicit request is made during regular business hours'}, {'decision': 'allow', 'subject': 'higher-ranked financial employee', 'action': 'update', 'resource': 'financial document', 'purpose': 'ensuring accuracy and compliance', 'condition': 'an explicit request is made during regular business hours'}]","accountant is allowed to alter financial document for the purpose of ensuring accuracy and compliance, if an explicit request is made during regular business hours and higher-ranked financial employee is able to alter financial document for the purpose of ensuring accuracy and compliance, if an explicit request is made during regular business hours and higher-ranked financial employee is shall to update financial document for the purpose of ensuring accuracy and compliance, if an explicit request is made during regular business hours",10
50,"An LHCP, patient or representative can modify his ""messagedisplayingfilter"" by modifying the following filtering criteria.","[{'decision': 'allow', 'subject': 'none', 'action': 'modify', 'resource': 'messagedisplayingfilter', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'representative', 'action': 'modify', 'resource': 'messagedisplayingfilter', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'modify', 'resource': 'messagedisplayingfilter', 'condition': 'none', 'purpose': 'none'}]",messagedisplayingfilter is able to be modify and representative is allowed to modify messagedisplayingfilter and lhcp is shall to modify messagedisplayingfilter,6
51,The software source code can only be accessed by approved developers for maintenance purposes.,"[{'decision': 'allow', 'subject': 'approved developer', 'action': 'access', 'resource': 'projects that he has submitted', 'condition': 'none', 'purpose': 'maintenance purpose'}]",approved developer is able to access projects that he has submitted for the purpose of maintenance purpose,3
52,"( If a surgeon or personal representative has not taken an office day satisfaction survey from an office visit date ) the patient may not take a survey for an office visit ( if the measurement has never been taken, the patient or individual health representative will not have the ability to take the survey or view no previously requested survey ).","[{'decision': 'deny', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'surgeon or personal representative has not taken an office day satisfaction survey from an office visit date', 'purpose': 'office visit'}, {'decision': 'deny', 'subject': 'individual health representative', 'action': 'view', 'resource': 'previously requested survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'view', 'resource': 'previously requested survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}]","patient is shall not to take survey for the purpose of office visit, if surgeon or personal representative has not taken an office day satisfaction survey from an office visit date and individual health representative is prohibited to view previously requested survey if measurement has never been taken and patient is unauthorized to view previously requested survey if measurement has never been taken and patient is prohibited to take survey if measurement has never been taken",10
