,Unnamed: 0,input,acp,output,origin
51,496,All employees should sign a confidentiality agreement upon joining the company.,1.0,{decision: allow; subject: all employees; action: sign; resource: confidentiality agreement; condition: none; purpose: none},collected_train
52,500,The user can select a prescription from the calendar to read the prescription's details.,1.0,{decision: allow; subject: user; action: select; resource: prescription; purpose: read the prescription’s details; condition: none},t2p
53,522,HCPs can return to an office visit.,1.0,{decision: allow; subject: hcps; action: return; resource: office visit; purpose: none; condition: none},t2p
54,527,"The user selects a prescription from the calendar to read its details by clicking the ""Read Details"" link beside or below the medication displayed for the prescription.",1.0,{decision: allow; subject: user; action: select; resource: prescription; purpose: read its details; condition: none},t2p
55,567,An HCP can reassign a previously created lab procedure .,1.0,{decision: allow; subject: hcp; action: reassign; resource: lab procedure; purpose: none; condition: none},acre
56,577,A fake email is sent to the patient alerting the patient that a new message reply has arrived.,1.0,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none},t2p
57,579,An HCP may document an office visit.,1.0,{decision: allow; subject: hcp; action: document; resource: office visit; purpose: none; condition: none},t2p
59,601,"The patient, UAP, or personal representative enters a systolic blood pressure outside the range 40-240 or a diastolic blood pressure outside the range 40-150.",1.0,{decision: allow; subject: patient; action: enter; resource: systolic blood pressure; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: diastolic blood pressure; purpose: none; condition: none | decision: allow; subject: uap; action: enter; resource: systolic blood pressure; purpose: none; condition: none | decision: allow; subject: uap; action: enter; resource: diastolic blood pressure; purpose: none; condition: none | decision: allow; subject: personal representative; action: enter; resource: systolic blood pressure; purpose: none; condition: none | decision: allow; subject: personal representative; action: enter; resource: diastolic blood pressure; purpose: none; condition: none},acre
60,602,A public health agent selects a specific time period for which he would like to see a detailed listing of all adverse events related to prescription drugs or immunizations.,1.0,{decision: allow; subject: public health agent; action: select; resource: time period; purpose: see a detailed listing of all adverse events related to prescription drugs or immunizations; condition: none},t2p
61,615,"To change patients dispositions, pharmacy systems should never update medical records.",1.0,"{decision: deny; subject: pharmacy systems; action: update; resource: medical record; purpose: change patients ""dispositions; condition: none}",collected_train
62,620,Professors cannot change the lectures they give during the current semester.,1.0,{decision: deny; subject: professors; action: change; resource: lectures; purpose: none; condition: during the current semester},collected_train
63,637,"Similar to an administrator, a software tester is added by directly entering the software tester into the database by an administrator that has access to the database.",1.0,{decision: allow; subject: administrator; action: add; resource: software tester; purpose: none; condition: administrator has access to the database},acre
64,638,"The LHCP views a list of requests he or she has made for reports, with the status and pertinent information about the requests.",1.0,{decision: allow; subject: lhcp; action: view; resource: list of requests; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: status; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: information; purpose: none; condition: none},acre
65,642,Pharmacy systems should never read public records unless they are able to process basic medical orders.,1.0,{decision: deny; subject: pharmacy system; action: read; resource: public records; purpose: none; condition: they are able to process basic medical orders},collected_train
66,647,"The patient chooses ""My Expired Prescription Reports"" and is presented with a list of the patient's expired prescriptions , sorted by start date (the later date is ranked earlier closer to the top).",1.0,{decision: allow; subject: patient; action: choose; resource: my expired prescription reports; purpose: none; condition: none},acre
67,648,"The sending HCP then chooses to save the edits, cancel the edits, or re-enter the data .",1.0,{decision: allow; subject: sending hcp; action: save; resource: edit; purpose: none; condition: none | decision: allow; subject: hcp; action: cancel; resource: edit; purpose: none; condition: none | decision: allow; subject: hcp; action: reenter; resource: data; purpose: none; condition: none},acre
68,660,The health care personnel does not confirm the selection and is prompted to try again.,1.0,{decision: deny; subject: health care personnel; action: confirm; resource: selection; condition: none; purpose: none | decision: allow; subject: health care personnel; action: try; resource: again; condition: none; purpose: none},acre
69,664,"If the use case was successful, the professor information is added, updated, or deleted from the system.",1.0,{decision: allow; subject: none; action: add; resource: professor information; purpose: none; condition: use case was successful | decision: allow; subject: none; action: update; resource: professor information; purpose: none; condition: use case was successful | decision: allow; subject: none; action: delete; resource: professor information; purpose: none; condition: use case was successful},ibm
70,668,"A person, identified by his or her patient number, may read any record for which he or she is the designated patient.",1.0,{decision: allow; subject: person; action: read; resource: record; purpose: none; condition: none},collected
71,691,"For the patient, the HCP can choose height or weight to graph.",1.0,{decision: allow; subject: hcp; action: choose; resource: height; purpose: graph; condition: none | decision: allow; subject: hcp; action: choose; resource: weight; purpose: graph; condition: none},t2p
72,695,An HCP can create a lab procedure for a given office visit .,1.0,{decision: allow; subject: hcp; action: create; resource: lab procedure; purpose: none; condition: none},acre
73,703,"An LHCP or patient can click the ""View Appointment Calendar"" link to view his or her appointments in the current month displayed on a calendar for the current month .",1.0,"{decision: allow; subject: lhcp; action: click; resource: view appointment calendar link; purpose: view his or her appointments in the current month; condition: none | decision: allow; subject: patient; action: click; resource: “view appointment calendar"" link; purpose: view his or her appointments in the current month; condition: none}",acre
74,744,"System presents a listing of prescription drug-related adverse events for the time period that do not have a status of ""removed"", sorted by NDC.",1.0,{decision: allow; subject: system; action: present; resource: listing of prescription drug-related adverse events; purpose: none; condition: none},t2p
75,765,Management can report customer transactions if required by law.,1.0,{decision: allow; subject: management; action: report; resource: customer transaction; purpose: none; condition: none},collected
76,784,"The patient or personal representative can see patient personal health information, immunizations, and office visit information for their own records and the records for whom the user is a personal representative.",1.0,{decision: allow; subject: patient; action: see; resource: patient personal health information; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: immunizations; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: office visit information; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: patient personal health information; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: immunizations; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: office visit information; purpose: none; condition: none},t2p
77,802,"The patient chooses a specific referral from the list to view complete details about the referral: sending HCP name and specialty, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",1.0,{decision: allow; subject: patient; action: choose; resource: referral; purpose: view complete details about the referral; condition: none},acre
79,824,one professional cannot review a project she or he has submitted.,1.0,{decision: deny; subject: professional; action: review; resource: project; purpose: none; condition: none},collected_train
80,828,An LHCP or UAP creates a list of patients (by MID) for which he or she will monitor remotely.,1.0,{decision: allow; subject: lhcp; action: create; resource: list of patients; purpose: none; condition: none | decision: allow; subject: uap; action: create; resource: list of patients; purpose: none; condition: none},t2p
81,832,An LHCP views a list of pending appointment requests.,1.0,{decision: allow; subject: lhcp; action: view; resource: list of pending appointment requests; purpose: none; condition: none},acre
82,846,The administrator is not allowed to change a reason or number in this access entry.,1.0,{decision: deny; subject: administrator; action: change; resource: reason; purpose: none; condition: none | decision: deny; subject: administrator; action: change; resource: number; purpose: none; condition: none},collected_train
83,851,The LHCP enters a patient medical identification number (MID)  and confirms his or her input .,1.0,{decision: allow; subject: lhcp; action: enter; resource: patient medical identification number; purpose: none; condition: none | decision: allow; subject: lhcp; action: confirm; resource: input; purpose: none; condition: none},acre
84,878,"When viewing the calendar, the user selects an appointment from the list to read comment by clicking the 'Read Comments' link beside the row for the appointment, and then the comment for the appointment shall be displayed in a new page .",1.0,{decision: allow; subject: user; action: select; resource: appointment; purpose: read comment; condition: none | decision: allow; subject: user; action: read; resource: comment; purpose: none; condition: none | decision: allow; subject: user; action: click; resource: read comments link; purpose: none; condition: none | decision: allow; subject: none; action: display; resource: comment; purpose: none; condition: none},acre
85,879,"If either a patient or a personal health officer has not provided a report on satisfaction with a visit to the doctor for a survey, the patient may not use the survey for a visit to the doctor.",1.0,{decision: deny; subject: patient; action: use; resource: survey; purpose: visit to the doctor; condition: either a patient or a personal health officer has not provided a report on satisfaction with a visit to the doctor for a survey},collected_train
86,883,"The patient is sent a ""fake email"" that the HCP has prescribed a medication that he or she is allergic to or that has a known interaction with a drug he or she is taking.",1.0,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none},acre
87,885,Supervisor can not  execute the write a check use case.,1.0,{decision: deny; subject: supervisor; action: execute; resource: write a check use case; purpose: none; condition: none},collected
88,890,The administrator records a drug interaction between two prescription drugs.,1.0,{decision: allow; subject: administrator; action: record; resource: drug interaction; purpose: none; condition: none},t2p
89,891,"when the subject was a diploma, this would not permit that subject to affect grades.",1.0,{decision: deny; subject: subject; action: affect; resource: grades; purpose: none; condition: subject was a diploma},collected_train
90,895,Both patients and LHCPs can view a list of their upcoming appointments.,1.0,{decision: allow; subject: patient; action: view; resource: list of their upcoming appointments; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: list of their upcoming appointments; purpose: none; condition: none},t2p
91,898,The administrator can delete the interaction between the two drugs.,1.0,{decision: allow; subject: administrator; action: delete; resource: interaction; purpose: none; condition: none},t2p
92,905,The HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,1.0,{decision: allow; subject: hcp; action: authenticate; resource: hcp; condition: none; purpose: none},acre
93,915,"If a patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet, the patient may also not review the survey for an alternate visit ( if that survey has finally been taken, its patient or personal health representative will not have the ability to perform the survey) ( below ).",1.0,{decision: deny; subject: patient; action: review; resource: survey; purpose: alternate visit; condition: patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet | decision: deny; subject: patient; action: perform; resource: survey; purpose: none; condition: survey has finally been taken | decision: deny; subject: personal health representative; action: perform; resource: survey; purpose: none; condition: survey has finally been taken},collected_train
94,934,"A sending HCP cancels a previously sent patient referral by visiting the office visit page, viewing the details of a previously sent patient referral , and choosing cancel.",1.0,{decision: allow; subject: sending hcp; action: cancel; resource: referral; purpose: none; condition: none},acre
95,945,"To enter the review process, authors must send their paper to the Program Committee Chair (PCC).",1.0,{decision: allow; subject: author; action: send; resource: paper; purpose: enter the review process; condition: none},cyber
96,957,A patient or personal health representative  views his or her iTrust homepage.,1.0,{decision: allow; subject: patient; action: view; resource: itrust homepage; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: itrust homepage; purpose: none; condition: none},acre
97,994,"Clerks can add and change the Name, the date of birth, the Address and the Postcode.",1.0,{decision: allow; subject: clerk; action: add; resource: name; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: date of birth; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: address; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: postcode; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: name; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: date of birth; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: address; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: postcode; purpose: none; condition: none},collected
98,995,"(If a doctor or personal representative has not completed a satisfaction survey prior to an initial visit), the patient may not re-participate in the survey for an office visit (if another survey has already been conducted, the patient or personal health officer will not lose the ability to conduct the survey or view the survey he or she administers).",1.0,{decision: deny; subject: patient; action: re-participate; resource: survey; purpose: office visit; condition: doctor or personal representative has not completed a satisfaction survey prior to an initial visit | decision: deny; subject: patient; action: re-participate; resource: survey; purpose: office visit; condition: doctor or personal representative has not completed a satisfaction survey prior to an initial visit},collected_train
99,1011,The administrator will store information of a LOINC code (Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations.,1.0,{decision: allow; subject: administrator; action: store; resource: loinc code; purpose: none; condition: none},acre
100,1025,"An LHCP or patient can click the ""View Appointment Calendar"" link to view his appointments in the current month.",1.0,{decision: allow; subject: lhcp; action: click; resource: view appointment calendar link; purpose: view his appointments in the current month; condition: none | decision: allow; subject: patient; action: click; resource: view appointment calendar link; purpose: view his appointments in the current month; condition: none},t2p
101,1047,Supervisors can collect personal information if required by law.,1.0,{decision: allow; subject: supervisor; action: collect; resource: personal information; purpose: none; condition: none},collected
102,1049,The HCP selects reasons out from the nine reasons listed here for the overriding.,1.0,{decision: allow; subject: hcp; action: select; resource: reason; purpose: none; condition: none},t2p
103,1052,"For the diagnostic information that a hospital can restrict, he or she may not try to activate several licensed health professionals and then possibly other licensed public service personnel, possibly and possibly not.",1.0,{decision: deny; subject: he; action: activate; resource: licensed health professionals; purpose: diagnostic information; condition: none | decision: deny; subject: he; action: request; resource: licensed public service personels; purpose: diagnostic information; condition: none | decision: deny; subject: she; action: activate; resource: licensed health professionals; purpose: diagnostic information; condition: none | decision: deny; subject: she; action: request; resource: licensed public service personels; purpose: diagnostic information; condition: none},collected_train
104,1056," ""Only authorized developers can deploy code to the production environment.""",1.0,{decision: allow; subject: authorized developers; action: deploy; resource: code; condition: to the production environment; purpose: none},collected_train
105,1060,Note that the administrator in his system is not allowed to access his old entry in order to put each hospital ID number into an existing entry.,1.0,{decision: deny; subject: administrator; action: access; resource: old entry in; purpose: put each hospital id number into an existing entry; condition: none},collected_train
106,1065,The data for personnel can be edited according to Data Format.,1.0,{decision: allow; subject: none; action: edit; resource: data; purpose: none; condition: none},t2p
107,1080,"However, the HCP cannot have the exclusive option of editing the client's own question and password.",1.0,"{decision: deny; subject: hcp; action: edit; resource: ""clients own question""; purpose: none; condition: none | decision: deny; subject: hcp; action: edit; resource: ""clients own password""; purpose: none; condition: none}",collected_train
108,1095,"Admin have read and set the bonuses of ordinary employees, but not those of other managers via the media.",1.0,{decision: allow; subject: admin; action: read; resource: bonuses of ordinary employees; condition: none; purpose: none | decision: allow; subject: admin; action: set; resource: bonuses of ordinary employees; condition: none; purpose: none | decision: deny; subject: admin; action: read; resource: bonuses of other managers; condition: none; purpose: none | decision: deny; subject: admin; action: set; resource: bonuses of other managers; condition: none; purpose: none},collected_train
109,1103,The administrator should be able to read and modify the customer database for the purpose of data management.,1.0,{decision: allow; subject: administrator; action: read; resource: customer database; condition: none; purpose: data management | decision: allow; subject: administrator; action: modify; resource: customer database; condition: none; purpose: data management},collected_train
110,1110,The HCP can select a medication from a pull down list and add it to the list of medications the patient is allergic to.,1.0,{decision: allow; subject: hcp; action: select; resource: medication; purpose: none; condition: none | decision: allow; subject: hcp; action: add; resource: medication; purpose: none; condition: none},acre
111,1112,"When an LHCP views a list of his or her upcoming appointments, they are presented with an option to edit or remove the appointment.",1.0,{decision: allow; subject: lhcp; action: edit; resource: appointment; purpose: none; condition: lhcp views a list of his or her upcoming appointments | decision: allow; subject: lhcp; action: remove; resource: appointment; purpose: none; condition: lhcp views a list of his or her upcoming appointments},acre
112,1115,"every professor, but not the students, can review a work.",1.0,{decision: allow; subject: professor; action: review; resource: work; purpose: none; condition: none | decision: deny; subject: students; action: review; resource: work; purpose: none; condition: none},collected_train
113,1126,An HCP can add commentary to a pending lab procedure .,1.0,{decision: allow; subject: hcp; action: add; resource: commentary; purpose: none; condition: none},acre
114,1129,"If the use case was successful, student grades for a course offering are updated.",1.0,{decision: allow; subject: none; action: update; resource: student grades; purpose: none; condition: use case was successful},ibm
115,1136,"The administrator shall be allowed to assign a LHCP to multiple hospitals, and the administrator can choose among only the hospitals provided in the hospital list pull down menu.",1.0,{decision: allow; subject: administrator; action: assign; resource: lhcp; purpose: none; condition: none | decision: allow; subject: administrator; action: choose; resource: hospital; purpose: none; condition: none},acre
117,1140,The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,1.0,{decision: allow; subject: professor; action: select; resource: course offering; purpose: none; condition: none | decision: allow; subject: professor; action: de-select; resource: course offering; purpose: none; condition: none},ibm
118,1145,The iTrust user has authenticated himself or herself in the iTrust Medical Records system(UC3).,1.0,{decision: allow; subject: itrust user; action: authenticate; resource: itrust user; condition: none; purpose: none},acre
119,1146,The HCP is not allowed to process the patient's health files by password.,1.0,"{decision: deny; subject: hcp; action: process; resource: ""patients health files""; purpose: none; condition: none}",collected_train
