,input,acp,output
24,In our case study this means that the residents themselves must also be regarded as principals for whom we define access rights.,0.0,{decision: allow; subject: none; action: regard; resource: residents; condition: none; purpose: none}
25,"Because of the physical access control in the current paper system, the manager has an overview of who has accessed what information.",0.0,{decision: allow; subject: manager; action: none; resource: overview; condition: none; purpose: none}
26,Management can report customer transactions if required by law.,1.0,{decision: allow; subject: management; action: report; resource: customer transaction; purpose: none; condition: none}
27,Admission nurses use SSN for reviewing eligibility if requested by a patient who is returning.,1.0,{decision: allow; subject: admission nurse; action: use; resource: ssn; purpose: reviewing eligibility; condition: requested by a patient who is returning}
28,"A bonus package with a fixed number of options, such as a-day-off, is available for employees.",0.0,{decision: allow; subject: none; action: none; resource: bonus package; condition: none; purpose: none}
29,Authors may never read scores.,1.0,{decision: deny; subject: author; action: read; resource: score; purpose: none; condition: none}
30,Any subject with an e-mail name in the med.example.com domain can perform any action on any resource.,1.0,{decision: allow; subject: subject; action: perform; resource: action; purpose: none; condition: e-mail name in the med.example.com domain}
31,It is used to enforce authorisation rules on bonus allocation among the employees of a company.,0.0,{decision: allow; subject: it; action: enforce; resource: authorisation rules; condition: none; purpose: none}
32,Each use case should be executed by an actor playing an authorized role(s) as shown in Figure 1.,0.0,{decision: allow; subject: none; action: execute; resource: use case; condition: as shown in figure 1; purpose: none}
33,Access is authorized or restricted to objects based on the time of day depending on the labeling on the resource and the user's credentials (driven by policy).,0.0,"{decision: allow; subject: access; action: authorize; resource: access; condition: ""depending on the labeling on the resource and the user s credentials ( driven by policy )""; purpose: none}"
34,Data Owners can transfer ownership of information to other users.,1.0,{decision: allow; subject: data owner; action: transfer; resource: ownership of information; purpose: none; condition: none}
35,The principals involved in an information system are usually thought of as staff members of a certain organisation.,0.0,{decision: allow; subject: none; action: think; resource: principals; condition: none; purpose: none}
36,Access to information is determined based on authorizations to access control lists based on user identifier and group membership.,0.0,{decision: allow; subject: none; action: determine; resource: access to information; condition: none; purpose: none}
37,"In addition, the role hierarchy implicitly authorizes a specialized role to inherit permissions.",0.0,{decision: allow; subject: none; action: author; resource: special role; condition: none; purpose: none}
38,He or she also can read the information about the distribution of options.,1.0,{decision: allow; subject: he; action: read; resource: information about the distribution of option; purpose: none; condition: none | decision: allow; subject: she; action: read; resource: information about the distribution of option; purpose: none; condition: none}
39,The need to make this arrangement is only to allow the manager and resident to set a time that is convenient to both of them.,0.0,{decision: allow; subject: manager; action: set; resource: time; condition: none; purpose: none}
40,"Owners can access their account, move funds, and review transactions.",1.0,{decision: allow; subject: owner; action: access; resource: account; purpose: none; condition: none | decision: allow; subject: owner; action: move; resource: fund; purpose: none; condition: none | decision: allow; subject: owner; action: review; resource: transaction; purpose: none; condition: none}
41,"All PC members, except the author(s) of a paper can know who are the reviewers for this paper.",1.0,{decision: allow; subject: pc member; action: know; resource: reviewer; purpose: none; condition: none | decision: deny; subject: author of paper; action: know; resource: reviewers; purpose: none; condition: none}
42,A user should already grant diagnosing right to create medicine orders.,1.0,{decision: allow; subject: user; action: grant; resource: diagnosing right; purpose: none; condition: none}
43,The doctor then has temporary access to the resident’s medical records (but not to the private notes of the resident’s usual doctor).,1.0,{decision: allow; subject: doctor; action: access; resource: medical record; purpose: none; condition: none | decision: deny; subject: doctor; action: access; resource: private note; purpose: none; condition: none}
44,"Use cases such as record invoice arrival, verify invoice validity, authorize payment and write a check are to be applied in the specified order.",0.0,{decision: allow; subject: none; action: apply; resource: use cases; condition: none; purpose: none}
45,"All data is assigned security level that reflects its relative sensitivity, confidentiality, and protection value.",0.0,{decision: allow; subject: none; action: assign; resource: security level; condition: none; purpose: none}
46,"During the submission phase, an author may submit a paper.",1.0,{decision: allow; subject: author; action: submit; resource: paper; purpose: none; condition: during the submission phase}
47,"A person may read any record for which he or she is the designated parent or guardian, and for which the patient is under 16 years of age.",1.0,{decision: allow; subject: person; action: read; resource: record; purpose: none; condition: person is the designated parent or guardian | decision: allow; subject: person; action: read; resource: record; purpose: none; condition: the patient is under 16 years of age}
48,Pharmacy System should not read patient records even if it can read patient medicine orders.,1.0,{decision: deny; subject: pharmacy system; action: read; resource: patient record; purpose: none; condition: none | decision: allow; subject: pharmacy system; action: read; resource: patient medicine order; purpose: none; condition: none}
49,Guests can access all the public areas of the site,1.0,{decision: allow; subject: guest; action: access; resource: all the public areas of the site; purpose: none; condition: none}
50,Staff can print on HP Laserjet 1.,1.0,{decision: allow; subject: staff; action: print; resource: hp laserjet 1; purpose: none; condition: none}
51,The sole counter-example shows that a student with the freedom to assign external grades is also a ta but not a faculty member.,1.0,{decision: allow; subject: ta; action: assign; resource: external grades; purpose: none; condition: none}
52,"A reviewer of a paper can resign, unless he has already appointed a sub-reviewer for the paper.",1.0,{decision: deny; subject: reviewer; action: resign; resource: none; purpose: none; condition: he has already appointed a sub-reviewer for the paper}
53,Subreviewers are known to all PC members who are not authors of the respective papers.,0.0,{decision: allow; subject: pc members; action: know; resource: subreviewers; purpose: none; condition: none}
54,Payers can use the site's bill paying function .,1.0,{decision: allow; subject: payer; action: use; resource: bill paying function; purpose: none; condition: none}
55,"Access is authorized or restricted to objects based on the security characteristics of the HTTP client (e.g. SSL bit length, version information, originating IP address or domain, etc.)",0.0,{decision: allow; subject: access; action: authorize; resource: access; condition: none; purpose: none}
56,There do not exist members of STUDENT who can ASSIGN EXTERNALGRADES.,1.0,{decision: deny; subject: student; action: assign; resource: externalgrades; purpose: none; condition: none}
57,A professor can review the same project at most one time.,1.0,{decision: allow; subject: professor; action: review; resource: same project; purpose: none; condition: none}
58,"If the subject is a faculty member, then permit that subject to assign grades.",1.0,{decision: allow; subject: subject; action: assign; resource: grades; purpose: none; condition: subject is a faculty member}
59,Access to emergency details is available for all staff.,1.0,{decision: allow; subject: staff; action: access; resource: emergency detail; purpose: none; condition: none}
60,Billing Reps can use credit card numbers for order processing.,1.0,{decision: allow; subject: billing rep; action: use; resource: credit card number; purpose: order processing; condition: none}
61,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and e-mail addresses.",1.0,{decision: allow; subject: pharmacist; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: pharmacist; action: collect; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: pharmacist; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: pharmacist; action: use; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: billing rep; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: billing rep; action: collect; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: billing rep; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: billing rep; action: use; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: customer service rep; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: customer service rep; action: collect; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: customer service rep; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: customer service rep; action: use; resource: e-mail address; purpose: none; condition: none}
62,"TA can view and assign InternalGrades but not ExternalGrades (since faculty must take final responsibility for all external grades), combined with Pol3.",1.0,{decision: allow; subject: ta; action: view; resource: internalgrades; purpose: none; condition: none | decision: allow; subject: ta; action: assign; resource: internalgrades; purpose: none; condition: none | decision: deny; subject: ta; action: view; resource: externalgrades; purpose: none; condition: none | decision: deny; subject: ta; action: assign; resource: externalgrades; purpose: none; condition: none}
63,"All users can write to a higher classification (A ""secret"" user can post information to a Top Secret resource).",1.0,{decision: allow; subject: user; action: write; resource: higher classification; purpose: none; condition: none | decision: allow; subject: secret user; action: post; resource: top secret resource; purpose: none; condition: none}
64,"If someone is not a pc-chair or admin, then he or she can never see paper-review-rc for which he or she is conflicted.",1.0,{decision: deny; subject: person; action: see; resource: paper-review-rc; purpose: none; condition: person is not a pc-chair or admin}
65,All members of FACULTY can ASSIGN both INTERNALGRADES and EXTERNALGRADES.,1.0,{decision: allow; subject: member of faculty; action: assign; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: member of faculty; action: assign; resource: internalgrades; purpose: none; condition: none}
66,"If the invoice’s total amount exceeds one million, then two different supervisors must authorize the invoice.",1.0,{decision: allow; subject: supervisor; action: authorize; resource: invoice; purpose: none; condition: invoice’s total amount exceeds one million}
67,"For a special purpose, access to an older medical record can be sought and obtained from the manager.",1.0,{decision: allow; subject: none; action: access; resource: older medical record; purpose: special purpose; condition: none}
68,A subject cannot belong to more than one role.,0.0,{decision: allow; subject: subject; action: belong; resource: more than one role; condition: none; purpose: none | decision: allow; subject: subject; action: belong; resource: more role; condition: none; purpose: none}
69,There exists no combination of roles such that a user with those roles can both RECEIVE and ASSIGN the resource EXTERNALGRADES.,1.0,{decision: deny; subject: user; action: receive; resource: externalgrades; purpose: none; condition: none | decision: deny; subject: user; action: assign; resource: externalgrades; purpose: none; condition: none}
70,"Customer Service Reps can modify credit card numbers for order processing, if the customer is notified by email of the change.",1.0,{decision: allow; subject: customer service rep; action: modify; resource: credit card number; purpose: order processing; condition: customer is notified by email of the change}
71,PC members and authors of papers are known to everybody.,0.0,{decision: allow; subject: everybody; action: know; resource: pc members; purpose: none; condition: none | decision: allow; subject: everybody; action: know; resource: authors of papers; purpose: none; condition: none}
72,A visiting doctor has access to all the medical information of residents who are his or her patients and can add entries to their medical records.,1.0,{decision: allow; subject: visiting doctor; action: access; resource: all the medical information of residents; purpose: none; condition: none | decision: allow; subject: visiting doctor; action: add; resource: entries; purpose: none; condition: none}
73,"A sub-reviewer can resign, unless he has already submitted his review.",1.0,{decision: allow; subject: sub-reviewer; action: resign; resource: none; purpose: none; condition: he has not submitted his review}
74,This one type of Dynamic Separation of Duty (DSOD) policy.,0.0,{decision: allow; subject: none; action: none; resource: dynamic separation of duty (dsod) policy; condition: none; purpose: none}
75,"Users who do not have access to information should not be able to determine its characteristics (file size, file name, directory path, etc.)",1.0,{decision: allow; subject: user; action: determine; resource: characteristic; purpose: none; condition: users do not have access to information}
76,Doctors need not sign a confidentiality agreement since they are bound by a code of professional conduct.,1.0,{decision: deny; subject: doctor; action: sign; resource: confidentiality agreement; condition: none; purpose: none}
77,"Loading medicines to medicine dispenser, creating medicine order and picking medicines from the medicine dispenser are operations forming a critical task.",0.0,{decision: allow; subject: none; action: create; resource: medicine order; condition: none; purpose: none | decision: allow; subject: none; action: pick; resource: medicines; condition: none; purpose: none | decision: allow; subject: none; action: form; resource: medicine dispenser; condition: none; purpose: none}
78,Shipping Reps can use customer name and customer mailing addresses to ship orders.,1.0,{decision: allow; subject: shipping rep; action: use; resource: customer mailing address; purpose: ship orders; condition: none | decision: allow; subject: shipping rep; action: use; resource: customer name; purpose: ship orders; condition: none}
79,Planners can access the sites financial planning and tax preparation functions,1.0,{decision: allow; subject: planner; action: access; resource: sites financial planning function; purpose: none; condition: none | decision: allow; subject: planner; action: access; resource: tax preparation function; purpose: none; condition: none}
80,Supervisors can collect personal information if required by law.,1.0,{decision: allow; subject: supervisor; action: collect; resource: personal information; purpose: none; condition: none}
81,"If the subject is a student, then do not permit that subject to assign grades.",1.0,{decision: deny; subject: subject; action: assign; resource: grade; purpose: none; condition: subject is a student}
82,No combination of roles exists such that a user with those roles can both Receive and Assign the resource ExternalGrades.,1.0,{decision: deny; subject: user; action: receive; resource: externalgrades; purpose: none; condition: none | decision: deny; subject: user; action: assign; resource: externalgrades; purpose: none; condition: none}
83,Every subject in the hierarchy except the business office manager can submit a project.,1.0,{decision: allow; subject: subject; action: submit; resource: project; purpose: none; condition: none | decision: deny; subject: business office manager; action: submit; resource: project; purpose: none; condition: none}
84,John can assign clerk to users from department A,1.0,{decision: allow; subject: john; action: assign; resource: clerk; purpose: none; condition: none}
85,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and date of birth to help confirm identity.",1.0,{decision: allow; subject: customer service rep; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: customer service rep; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: customer service rep; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: customer service rep; action: use; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacist; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacist; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacist; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacist; action: use; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: billing rep; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: billing rep; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: billing rep; action: use; resource: date of birth; purpose: help confirm identity; condition: none}
86,A subject cannot approve projects he or she has reviewed or submitted.,1.0,{decision: deny; subject: subject; action: approve; resource: project; purpose: none; condition: none}
87,"However, it should not perform these operations when it is loading medicines to the medicine dispenser.",1.0,{decision: deny; subject: it; action: perform; resource: operations; purpose: none; condition: it is loading medicines to the medicine dispenser}
88,"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",1.0,{decision: allow; subject: person; action: access; resource: information stored about them; purpose: none; condition: well being of a third party would not be jeopardised}
89,"So, for example, the manager should be made aware of repeated attempts by a health care worker to access information beyond their rights.",1.0,{decision: allow; subject: manager; action: aware; resource: repeated attempt; purpose: none; condition: none}
90,Pharmacy System can load medicines to the dispenser only at a time interval 12:00-13:00 in a day.,1.0,{decision: allow; subject: pharmacy system; action: load; resource: medicine; purpose: none; condition: at a time interval 12:00-13:00 in a day}
91,Administrators can access only the administrative pages,1.0,{decision: allow; subject: administrators; action: access; resource: administrative page; purpose: none; condition: none}
92,"Clerks can add and change the Name, the date of birth, the Address and the Postcode.",1.0,{decision: allow; subject: clerk; action: add; resource: name; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: date of birth; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: address; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: postcode; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: name; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: date of birth; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: address; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: postcode; purpose: none; condition: none}
93,"Managers can read and set ordinary employees’ bonuses, but not those of other managers or the director.",1.0,{decision: allow; subject: manager; action: read; resource: ordinary employee bonus; purpose: none; condition: none | decision: allow; subject: manager; action: set; resource: ordinary employee bonus; purpose: none; condition: none | decision: deny; subject: manager; action: read; resource: manager bonuses; purpose: none; condition: none | decision: deny; subject: manager; action: set; resource: manager bonus; purpose: none; condition: none | decision: deny; subject: manager; action: read; resource: director bonus; purpose: none; condition: none | decision: deny; subject: manager; action: set; resource: director bonus; purpose: none; condition: none}
94,All members of role Faculty Family can receive External-Grades.,1.0,{decision: allow; subject: members of role faculty family; action: receive; resource: external-grade; purpose: none; condition: none}
95,Privacy laws require that the information be held for a certain period after a resident leaves the facility.,0.0,{decision: allow; subject: none; action: hold; resource: information; condition: none; purpose: none}
96,Only the business office manager and the dean can approve a project.,1.0,{decision: allow; subject: business office manager; action: approve; resource: project; purpose: none; condition: none | decision: allow; subject: dean; action: approve; resource: project; purpose: none; condition: none}
97,David can assign the manager role to Alice.,1.0,{decision: allow; subject: david; action: assign; resource: manager; purpose: none; condition: none}
98,Health care workers can view recent medical records of residents (up to one year old) but cannot normally view older medical information.,1.0,{decision: allow; subject: health care worker; action: view; resource: recent medical record; purpose: none; condition: none | decision: deny; subject: health care worker; action: view; resource: older medical information; purpose: none; condition: none}
99,Owners cannot change any data but can read it all.,1.0,{decision: allow; subject: owner; action: read; resource: data; purpose: none; condition: none | decision: deny; subject: owner; action: change; resource: data; purpose: none; condition: none}
100,This period is seven years for someone who is not of Aboriginal or Torres Strait Islander descent and nine years for someone who is.,0.0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
101,"Although she can enter the past medical records when a resident is admitted, she cannot subsequently add medical entries to the system.",1.0,{decision: allow; subject: she; action: enter; resource: past medical record; purpose: none; condition: resident is admitted | decision: deny; subject: she; action: add; resource: medical entry; purpose: none; condition: none}
102,The PC chair appoints the PC members.,1.0,{decision: allow; subject: pc chair; action: appoint; resource: pc member; purpose: none; condition: none}
103,"An employee can appoint another employee to be his advocate, and have read access to his bonus information – for example, this might be useful if he needs help from a trade union.",1.0,{decision: allow; subject: employee; action: appoint; resource: employee; purpose: be his advocate; condition: none | decision: allow; subject: employee; action: appoint; resource: employee; purpose: have read access to his bonus information; condition: none}
104,"Special add-on or plug-in software required to apply to an HTTP client to prevent indiscriminant copying by users (""cutting and pasting"" of information)",0.0,"{decision: allow; subject: none; action: apply; resource: special add-on or plug-in software required to apply to an http client; condition: none; purpose: to prevent indiscriminant copying by users ( "" cutting and pasting "" of information}"
105,"If the subject is not a faculty member, then permit that subject to enroll in courses.",1.0,{decision: allow; subject: subject; action: enroll; resource: courses; purpose: none; condition: subject is not a faculty member}
106,There do not exist members of Student who can Assign ExternalGrades.,1.0,{decision: deny; subject: member of student; action: assign; resource: externalgrades; purpose: none; condition: none}
107,"Occasionally, due to pressing circumstances, it may be necessary for a visiting doctor to examine a resident who is not normally his or her patient.",1.0,{decision: allow; subject: visiting doctor; action: examine; resource: resident; purpose: none; condition: none}
108,"In the current paper-based system, this is prevented by requiring that any new entry be signed by the doctor making that entry.",0.0,{decision: allow; subject: none; action: sign; resource: new entry; condition: none; purpose: none}
109,Owners can read Name.,1.0,{decision: allow; subject: owner; action: read; resource: name; purpose: none; condition: none}
110,"Every professor, except assistant professors, can review a project.",1.0,{decision: allow; subject: professor; action: review; resource: project; purpose: none; condition: none | decision: deny; subject: assistant professor; action: review; resource: project; purpose: none; condition: none}
111,Customer service reps can use credit card number for the purpose of updating records if requested by a patient.,1.0,{decision: allow; subject: customer service rep; action: use; resource: credit card number; purpose: updating records; condition: requested by a patient}
112,"During the meeting phase, reviewer can read the scores for paper if reviewer has submitted a review for paper.",1.0,{decision: allow; subject: reviewer; action: read; resource: scores for paper; purpose: none; condition: reviewer has submitted a review for paper}
113,This policy is claimed to prevent fraud and errors.,0.0,{decision: allow; subject: none; action: claim; resource: policy; condition: none; purpose: none}
114,"A physician may write to any medical element for which he or she is the designated primary care physician, provided an email is sent to the patient.",1.0,{decision: allow; subject: physician; action: write; resource: medical element; purpose: none; condition: email is sent to the patient}
115,An administrator shall not be permitted to read or write to medical elements of a patient record.,1.0,{decision: deny; subject: administrator; action: read; resource: medical element; purpose: none; condition: none | decision: deny; subject: administrator; action: write; resource: medical element; purpose: none; condition: none}
116,In an electronic system we can allow residents to hook into the network at any time as long as they can view only their own data and cannot make arbitrary changes.,1.0,{decision: allow; subject: resident; action: hook; resource: network; purpose: none; condition: they can view only their own data and cannot make arbitrary changes}
117,"During the review phase, reviewer may submit a review for paper if reviewer is assigned to review paper.",1.0,{decision: allow; subject: reviewer; action: submit; resource: review; purpose: none; condition: reviewer is assigned to review paper}
118,"In the current paper system, all the information stored about a resident is accessible to the resident by arrangement with the manager.",1.0,{decision: allow; subject: resident; action: access; resource: information; condition: none; purpose: none}
119,"A person, identified by his or her patient number, may read any record for which he or she is the designated patient.",1.0,{decision: allow; subject: person; action: read; resource: record; purpose: none; condition: none}
120,Supervisor can not  execute the write a check use case.,1.0,{decision: deny; subject: supervisor; action: execute; resource: write a check use case; purpose: none; condition: none}
121,"Doctors also can add private notes about a resident, which, on the basis of doctor-patient confidentiality, are not visible to health care staff or the manager.",1.0,{decision: allow; subject: doctor; action: add; resource: private note; purpose: none; condition: none | decision: deny; subject: health care staff; action: view; resource: private note; purpose: none; condition: none | decision: deny; subject: manager; action: view; resource: private note; purpose: none; condition: none}
122,Clerk can read from database.,1.0,{decision: allow; subject: clerk; action: read; resource: database; purpose: none; condition: none}
123,"Only one user, here is the Pharmacy System, can load medicines to the medicine dispenser.",1.0,{decision: allow; subject: user; action: load; resource: medicines; purpose: none; condition: none}
124,"All users are given read or write access to objects only of the same classification (a ""secret"" user can only read or write to a secret document).",1.0,{decision: allow; subject: user; action: read; resource: object; purpose: none; condition: none | decision: allow; subject: user; action: write; resource: objects; purpose: none; condition: none | decision: allow; subject: secret user; action: read; resource: secret document; purpose: none; condition: none | decision: allow; subject: secret user; action: write; resource: secret document; purpose: none; condition: none}
125,Financial consultants can collect and use customer name for the purpose of confirming identity.,1.0,{decision: allow; subject: financial consultant; action: collect; resource: customer name; purpose: confirming identity; condition: none | decision: allow; subject: financial consultant; action: use; resource: customer name; purpose: confirming identity; condition: none}
126,"The PC chair can assign a paper to a PC member for reviewing, except if he is one of its authors.",1.0,{decision: deny; subject: pc chair; action: assign; resource: paper; purpose: reviewing; condition: he is one of its authors}
127,Only Doctors and Nurses can read patient records.,1.0,{decision: allow; subject: doctor; action: read; resource: patient record; purpose: none; condition: none | decision: allow; subject: nurse; action: read; resource: patient record; purpose: none; condition: none}
128,"The manager has the broadest access to the information, including access to personal, financial, clinical and medical information about each resident.",1.0,{decision: allow; subject: manager; action: access; resource: personal information about each resident; purpose: none; condition: none | decision: allow; subject: manager; action: access; resource: financial information about each resident; purpose: none; condition: none | decision: allow; subject: manager; action: access; resource: medical information about each resident; purpose: none; condition: none | decision: allow; subject: manager; action: access; resource: clinical information about each resident; purpose: none; condition: none}
129,"For example, a user should not record and verify the same invoice.",1.0,{decision: deny; subject: user; action: record; resource: invoice; purpose: none; condition: none | decision: deny; subject: user; action: verify; resource: invoice; purpose: none; condition: none}
130,"Customer service reps, ducks or Lawyers can use credit card number for the purpose of making treatment decisions if customer has opted-in.",1.0,{decision: allow; subject: customer service rep; action: use; resource: credit card number; purpose: making treatment decisions; condition: customer has opted-in | decision: allow; subject: duck; action: use; resource: credit card number; purpose: making treatment decisions; condition: customer has opted-in | decision: allow; subject: lawyer; action: use; resource: credit card number; purpose: making treatment decisions; condition: customer has opted-in}
131,All members of STUDENT can RECEIVE EXTERNALGRADES.,1.0,{decision: allow; subject: member of student; action: receive; resource: externalgrades; purpose: none; condition: none}
132,Repetitive authorization failures to access the same resource or object generates an alarm possibly and possibly restricts the user's access,0.0,"{decision: allow; subject: reprobates; action: restrict; resource: ""users access""; condition: possibly; purpose: none | decision: allow; subject: reprobates; action: access; resource: same resource or object; condition: none; purpose: none}"
