,input,acp,output,origin
49,Pharmacy systems should never read public records unless they are able to process basic medical orders.,1,{decision: deny; subject: pharmacy system; action: read; resource: public records; purpose: none; condition: they are able to process basic medical orders},collected_train
50,"That system must keep students from choosing study schedules other on their own, and professors from modifying their course schedule for other professors.",1,{decision: deny; subject: students; action: choose; resource: study schedules; purpose: none; condition: none | decision: deny; subject: professors; action: modify; resource: course schedule; purpose: none; condition: none},collected_train
51,"Although you are not allowed to enter past medical records until a resident is admitted, you can subsequently see earlier entries in the records.",1,{decision: deny; subject: you; action: enter; resource: past medical records; purpose: none; condition: resident is admitted | decision: allow; subject: you; action: see; resource: earlier entries; purpose: none; condition: none},collected_train
52,They will go to any depths to achieve their ends /.,0,{decision: allow; subject: they; action: go; resource: any depths; condition: none; purpose: to achieve their ends},na
53,An LHCP or UAP creates a list of patients (by MID) for which he or she will monitor remotely.,1,{decision: allow; subject: lhcp; action: create; resource: list of patients; purpose: none; condition: none | decision: allow; subject: uap; action: create; resource: list of patients; purpose: none; condition: none},t2p
55,"If the use case was successful, the actor is now logged into the system.",0,{decision: allow; subject: none; action: log; resource: use case; condition: if the use case was successful; purpose: none},na
56,"Since student grades are sensitive information, the system must employ extra security measures to prevent unauthorized access.",0,{decision: allow; subject: system; action: employ; resource: extra security measures; condition: none; purpose: none},na
57,All members of FACULTY can ASSIGN both INTERNALGRADES and EXTERNALGRADES.,1,{decision: allow; subject: member of faculty; action: assign; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: member of faculty; action: assign; resource: internalgrades; purpose: none; condition: none},collected
58,", , let me again add some words , if it wants joint development , Japanese companies and Japanese influence will enter the four northern islands .",0,{decision: allow; subject: japanese companies; action: enter; resource: four northern islands; condition: it wants joint development; purpose: none | decision: allow; subject: japanese influence; action: enter; resource: four northern islands; condition: it wants joint development; purpose: none},na
59,This use case describes how a user logs into the Course Registration System.,0,{decision: allow; subject: user; action: log; resource: course registration system; condition: none; purpose: none},na
60,"President Clinton leaves for East Asia today to attend the annual Asia Pacific Economic Co-operation Summit , held this year in Brunei .",0,{decision: allow; subject: president; action: leave; resource: office visit; condition: none; purpose: to attend the annual asia pacific economic co - operation summit},na
61,The LHCP is unable to process or remove previous appointments.,1,{decision: deny; subject: lhcp; action: process; resource: previous appointments; purpose: none; condition: none | decision: deny; subject: lhcp; action: remove; resource: previous appointments; purpose: none; condition: none},collected_train
62,"On Tuesday , the Federal Reserve Open Market Committee meets for the final time this year to discuss interest rates .",0,{decision: allow; subject: none; action: meet; resource: federal reserve open market committee meeting; condition: none; purpose: to discuss interest rates},na
63,Chair -  Use chair or chair as login & password combination.,0,{decision: allow; subject: none; action: use; resource: chair; condition: none; purpose: none},na
64,An LHCP chooses to send a message to a patient or representative (no multiple recipients allowed in a single message).,1,{decision: allow; subject: lhcp; action: send; resource: message; purpose: none; condition: none},acre
65,Senior Israeli and Palestinian peace negotiators are both expected in Washington this week to discuss the situation in the Middle East .,0,{decision: allow; subject: none; action: expect; resource: senior israeli peace negotiators; condition: none; purpose: discuss the situation in the middle east | decision: allow; subject: none; action: expect; resource: senior palestinian peace negotiators; condition: none; purpose: discuss the situation in the middle east},na
66,A patient inputs his blood pressure or glucose levels.,1,{decision: allow; subject: patient; action: input; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: patient; action: input; resource: glucose level; purpose: none; condition: none},t2p
67,"Many schools in central and southern Taiwan are renting buses by the dozen to ferry their students up to Taipei , and lots of foreign tourists are also coming by for a look .",0,{decision: allow; subject: schools in central taiwan; action: rent; resource: buses; condition: none; purpose: ferry their students up to taipei | decision: allow; subject: schools in southern taiwan; action: rent; resource: buses; condition: none; purpose: ferry their students up to taipei},na
68,The Close Registration processing cannot be performed if registration is in progress.,1,{decision: deny; subject: none; action: perform; resource: close registration processing; purpose: none; condition: registration is in progress},ibm
69,"In the current paper system, all the information stored about a resident is accessible to the resident by arrangement with the manager.",1,{decision: allow; subject: resident; action: access; resource: information; condition: none; purpose: none},collected
70,The Submit Schedule subflow is executed.,0,{decision: allow; subject: none; action: execute; resource: submit schedule subflow; condition: none; purpose: none},na
71,"All PC members, with the exception of the authors of a paper, can know who the reviewers of that work are.",1,{decision: allow; subject: pc members; action: know; resource: reviewers of that work; purpose: none; condition: none | decision: deny; subject: authors of a paper; action: know; resource: reviewers of that work; purpose: none; condition: none},collected_train
72,Security and privacy of such a system is of paramount importance.,0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none},na
73,Local officials sent a detective to the coven to photograph the evidence .,0,{decision: allow; subject: local officials; action: send; resource: detective; condition: none; purpose: to photograph the evidence},na
74,"Several days after the armed confrontations between supporters of the Fatah and Hamas movements and the multiple violations of the truce , Prime Minister Ismail Haniyeh expressed the movement 's readiness to begin a dialogue to form a government according to Palestinian premises and conditions , in order to contain the confrontations in the Palestinian street .",0,{decision: allow; subject: none; action: begin; resource: beginning of a dialogue; condition: none; purpose: to form a government according to palestinian premises and conditions in order to contain the confrontations in the palestinian street},na
75,"This they can take home to share with their fellow citizens , thereby helping the ROC 's diplomatic partners and their peoples to understand Taiwan better .",0,"{decision: allow; subject: they; action: take; resource: home; condition: none; purpose: ""to share with their fellow citizens""}",na
76,"Liu Hsiang , a PhD candidate who also teaches at an English supplementary school , says that it is certainly necessary to spend time and money if you want to give your exterior appearance a little character .",0,{decision: allow; subject: lhsiang; action: spend; resource: time and money; condition: if you want to give your exterior appearance a little character; purpose: none},na
77,"If the use case was successful, student grades for a course offering are updated.",1,{decision: allow; subject: none; action: update; resource: student grades; purpose: none; condition: use case was successful},ibm
78,A manager should be able to access the financial reports to analyze the company's performance.,1,"{decision: allow; subject: manager; action: access; resource: financial reports; condition: none; purpose: ""analyze the companys performance""}",collected_train
79,The licensed health care professional making a diagnosis determines if a patient is granted the ability to restrict viewing of the diagnosis.,1,{decision: allow; subject: licensed health care professional; action: determine; resource: ability; purpose: none; condition: none},acre
80,The system shall append 20 more activities to the end of the currently listed activities on the same page.,1,{decision: allow; subject: system; action: append; resource: activity; condition: none; purpose: none},t2p
81,"The LHCP chooses to examine a patient for which the preconditions do not apply (e.g., an adult shouldn't be tested for child diabetes) and the LHCP is prompted that no analysis can occur.",1,{decision: allow; subject: lhcp; action: examine; resource: patient; purpose: none; condition: none},acre
82,A patient can report physiologic measurements.,1,{decision: allow; subject: patient; action: report; resource: physiologic measurement; purpose: none; condition: none},t2p
83,The HCP can view a list of laboratory procedures and can update the status and comments.,1,{decision: allow; subject: hcp; action: view; resource: list of laboratory procedures; purpose: none; condition: none | decision: allow; subject: hcp; action: update; resource: status; purpose: none; condition: none | decision: allow; subject: hcp; action: update; resource: comments; purpose: none; condition: none},t2p
84,They turned and twisted her limp body to inspect the bullet wounds .,0,{decision: allow; subject: they; action: turn; resource: limp body; condition: none; purpose: to inspect the bullet wounds},na
85,"In this paper we describe CyberChair, a web-based group­ware application that supports the review process for technical contributions to conferences.",0,{decision: allow; subject: cyberchair; action: support; resource: web-based group-ware application; condition: none; purpose: none},na
86,"However, the HCP cannot have the exclusive option of editing the client's own question and password.",1,"{decision: deny; subject: hcp; action: edit; resource: ""clients own question""; purpose: none; condition: none | decision: deny; subject: hcp; action: edit; resource: ""clients own password""; purpose: none; condition: none}",collected_train
87,The representative views his message inbox.,1,{decision: allow; subject: representative; action: view; resource: message inbox; purpose: none; condition: none},t2p
88,Save a Schedule,0,{decision: allow; subject: none; action: save; resource: schedule; condition: none; purpose: none},na
89,Identifying the right reviewers for papers is a difficult task.,0,{decision: allow; subject: none; action: identify; resource: right reviewers; condition: none; purpose: none},na
90,A user can sort messages in his or her message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.,1,{decision: allow; subject: user; action: sort; resource: message; purpose: none; condition: none},acre
91,You can also add medical notes about each resident that are not visible to the manager.,1,{decision: allow; subject: you; action: add; resource: medical notes about each resident; purpose: none; condition: none | decision: deny; subject: manager; action: view; resource: medical notes about each resident; purpose: none; condition: none},collected_train
92,All setting the stage for November 's midterm election /.,0,"{decision: allow; subject: none; action: set; resource: ""all setting the stage for novembers midterm election""; condition: none; purpose: ""for november s midterm election""}",na
93,"It also said that if the European Union protects religious freedom , it will support Turkey 's entry into the European Union .",0,{decision: allow; subject: it; action: support; resource: “turkey”s entry into the”european”union; condition: if the european union protects religious freedom; purpose: none},na
95,But I would just remind people that four years ago the Taliban was executing people wantonly in uh stadiums for playing music /.,0,{decision: allow; subject: none; action: remind; resource: people; condition: just; purpose: none},na
96,A sending HCP edits a previously sent patient referral .,1,{decision: allow; subject: hcp; action: edit; resource: referral; purpose: none; condition: none},acre
97,A fake email is sent to the patient or representative alerting the patient or representative that a new message reply has arrived.,1,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none},acre
98,"The patient chooses ""My Expired Prescription Reports"" and is presented with a list of the patient's expired prescriptions , sorted by start date (the later date is ranked earlier closer to the top).",1,{decision: allow; subject: patient; action: choose; resource: my expired prescription reports; purpose: none; condition: none},acre
99,We are fighting for all the right reasons against one of the most despicable and dangerous enemies this nation has ever faced /.,0,{decision: allow; subject: we; action: fight; resource: dangerous enemies; condition: none; purpose: for all the right reasons | decision: allow; subject: we; action: fight; resource: despicable enemies; condition: none; purpose: all the right reasons},na
100,"However, it is not accessible by other doctors, and is often only viewed through some proprietary software so it can not be shared.",0,{decision: allow; subject: none; action: view; resource: other doctors; condition: only; purpose: so it can not be shared},na
101,The version described in this paper was used for ECOOP 2000 and  the International Workshop on Software Specification and  Design (IWSSD-10).,0,{decision: allow; subject: none; action: use; resource: version described in this paper; condition: none; purpose: none},na
102,"The patient's assigned MID and a secret key (the initial password) are personally provided to the user, with which the user can reset his or her password.",1,{decision: allow; subject: none; action: provide; resource: mid; purpose: user can reset his or her password; condition: none | decision: allow; subject: none; action: provide; resource: secret key; purpose: user can reset his or her password; condition: none},acre
103,"A patient, personal representative or LHCP views prescription reports.",1,{decision: allow; subject: patient; action: view; resource: prescription report; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: prescription report; purpose: none; condition: none | decision: allow; subject: personal representative; action: view; resource: prescription report; purpose: none; condition: none},t2p
104,A sending HCP cancels a previously sent patient referral .,1,{decision: allow; subject: hcp; action: cancel; resource: referral; purpose: none; condition: none},acre
105,Authorities tell us that he had been subdued by the time the first responders arrived here so that he was subdued by staff here at the school /.,0,{decision: allow; subject: authorities; action: tell; resource: he had been subdued by the time the first responders arrived here; condition: none; purpose: so that he was subdued by staff here at the school},na
106,"We also saw the American diplomat Willie Montgomery who arrived in Belgrade today to set up most probably a meeting between a senior U.S. official James O'brien , who is coming to Belgrade .",0,{decision: allow; subject: we; action: see; resource: american diplomat; condition: most probably; purpose: none},na
107,Each use case should be executed by an actor playing an authorized role(s) as shown in Figure 1.,0,{decision: allow; subject: none; action: execute; resource: use case; condition: as shown in figure 1; purpose: none},na
108,All employees should sign a confidentiality agreement upon joining the company.,1,{decision: allow; subject: all employees; action: sign; resource: confidentiality agreement; condition: none; purpose: none},collected_train
109,An HCP can create a lab procedure for a given office visit .,1,{decision: allow; subject: hcp; action: create; resource: lab procedure; purpose: none; condition: none},acre
110,A fake email is sent to the patient alerting the patient that a new message reply has arrived.,1,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none},t2p
111,An HCP can reassign a previously created lab procedure .,1,{decision: allow; subject: hcp; action: reassign; resource: lab procedure; purpose: none; condition: none},acre
112,He invited both Slobodan Milosevic and Vojislav Kostunica to Moscow for talks .,0,{decision: allow; subject: he; action: invite; resource: slobodan milosevic; condition: none; purpose: talks | decision: allow; subject: he; action: invite; resource: vojislav kostunica; condition: none; purpose: talks},na
113,"A deactivated patient can not modified or log into the system, and can only be reactivated by the administrator.",1,{decision: deny; subject: none; action: modify; resource: deactivated patient; purpose: none; condition: none | decision: deny; subject: deactivated patient; action: log; resource: system; purpose: none; condition: none | decision: allow; subject: administrator; action: reactivate; resource: deactivated patient; purpose: none; condition: none},acre
116,"East Asian values , such as the need to sacrifice individual interests in pursuit of the group interest , have been a major impetus for the region 's rapid development . """,0,{decision: allow; subject: eastasian values; action: sacrifice; resource: individual interests in pursuit of the group interest; condition: none; purpose: in pursuit of the group interest},na
117,The LHCP clicks this number to view the physiologic data monitoring details of his or her patients for the current date.,1,{decision: allow; subject: lhcp; action: click; resource: number; purpose: view the physiologic data monitoring details; condition: none},acre
118,The LHCP enters and confirms the patient or representative's MID .,1,{decision: allow; subject: lhcp; action: enter; resource: patients mid; purpose: none; condition: none | decision: allow; subject: lhcp; action: enter; resource: representatives mid; purpose: none; condition: none | decision: allow; subject: lhcp; action: confirm; resource: patients mid; purpose: none; condition: none | decision: allow; subject: lhcp; action: confirm; resource: representatives mid; purpose: none; condition: none},acre
119,"The course offering is marked as ""enrolled in"" in the schedule.",0,{decision: allow; subject: none; action: mark; resource: course offering; purpose: none; condition: none},na
120,"Interesting point here also , people are suggesting he may be raising this money to buy those Atlanta sports teams that apparently are on the block .",0,{decision: allow; subject: people; action: raise; resource: money; condition: none; purpose: to buy those atlanta sports teams that apparently are on the block},na
121,Note that the administrator is actually is unable to delete an existing entry when modify your reason id number with an object file.,1,{decision: deny; subject: administrator; action: delete; resource: existing entry; purpose: none; condition: modify your reason id number with an object file},collected_train
122," ""For security reasons access to Resource K is limited to authorized administrators.""",1,{decision: allow; subject: authorized administrators; action: access; resource: k; condition: none; purpose: security reasons},collected_train
123,"President Hosni Mubarak and President Teodoro Nguema , the President of the Republic of Equatorial Guinea , agreed to establish resident diplomatic relations in the capitals of the two countries , Cairo and Malabo , in order to support the common desire for strong relations in the areas of investment , commerce and the economy .",0,{decision: allow; subject: president; action: establish; resource: common desire for strong relations in the areas of the economy; condition: none; purpose: in order to support the common desire for strong relations in the areas of investment commerce and the economy | decision: allow; subject: president; action: establish; resource: resident diplomatic relations in the capitals of the two countries; condition: none; purpose: in order to support the common desire for strong relations in the areas of investment commerce and the economy | decision: allow; subject: president; action: establish; resource: common desire for strong relations in the areas of commerce; condition: none; purpose: in order to support the common desire for strong relations in the areas of investment commerce and the economy | decision: allow; subject: president; action: establish; resource: common desire for strong relations in the areas of investment; condition: none; purpose: in order to support the common desire for strong relations in the areas of investment commerce and the economy},na
124,"In addition , President Chen Shui - bian initiated a series of activities under the theme of Human Rights Week to remind Taiwan citizens of the importance of human rights .",0,{decision: allow; subject: president; action: initiate; resource: series of activities; condition: none; purpose: to remind taiwan citizens of the importance of human rights},na
125,"More conference management systems exist , although we could not find publications about them in the litterature.",0,{decision: allow; subject: more conference management systems exist; action: find; resource: publications about them in the lignature; condition: none; purpose: none},na
126,A LHCP reviews the consultation.,1,{decision: allow; subject: lhcp; action: review; resource: consultation; purpose: none; condition: none},t2p
128,"If the use case was successful, the professor information is added, updated, or deleted from the system.",1,{decision: allow; subject: none; action: add; resource: professor information; purpose: none; condition: use case was successful | decision: allow; subject: none; action: update; resource: professor information; purpose: none; condition: use case was successful | decision: allow; subject: none; action: delete; resource: professor information; purpose: none; condition: use case was successful},ibm
129,The event is logged.,0,{decision: allow; subject: none; action: log; resource: event; condition: none; purpose: none},na
130,In case of an emergency any user should be able to trigger the evacuation alarm.,1,{decision: allow; subject: user; action: trigger; resource: evacuation alarm; condition: emergency; purpose: none},collected_train
131,"A person, identified by his or her patient number, may read any record for which he or she is the designated patient.",1,{decision: allow; subject: person; action: read; resource: record; purpose: none; condition: none},collected
132,Staff can print on HP Laserjet 1.,1,{decision: allow; subject: staff; action: print; resource: hp laserjet 1; purpose: none; condition: none},collected
133,"Defending what he calls his policy of restraint , Prime Minister Barak says if Israel thought that 2000 Palestinian deaths instead of the 200 now would really solve the situation , we would act in that direction , but Mr. Barak told Israeli Radio , using greater force would lead Israel into a much more complicated situation .",0,{decision: allow; subject: none; action: act; resource: greater force; condition: if israel thought that 2000 palestinian deaths instead of the 200 now would really solve the situation; purpose: none},na
134,Sailors still aboard the `` USS Cole '' paused this morning for a memorial service honoring the 17 sailors who died in the blast .,0,{decision: allow; subject: sailors; action: pause; resource: none; condition: none; purpose: for a memorial service honoring the 17 sailors who died in the blast},na
135,The system displays a list of course offerings the Professor taught in the previous semester.,1,{decision: allow; subject: system; action: display; resource: list of course offerings; purpose: none; condition: none},ibm
136,"In the run - up to the election , security forces arrested scores of Muslim Brotherhood leaders and hundreds of their sympathizers in an effort to weaken the group , which is viewed as the second strongest political force in the country .",0,{decision: allow; subject: security forces; action: arrest; resource: scores of muslim brotherhood leaders; condition: none; purpose: in an effort to weaken the group ; which is viewed as the second strongest political force in the country | decision: allow; subject: security forces; action: arrest; resource: hundreds of their sympathizers; condition: none; purpose: in an effort to weaken the group which is viewed as the second strongest political force in the country},na
137,The LHCP enters a patient medical identification number (MID)  and confirms his or her input .,1,{decision: allow; subject: lhcp; action: enter; resource: patient medical identification number; purpose: none; condition: none | decision: allow; subject: lhcp; action: confirm; resource: input; purpose: none; condition: none},acre
138,The administrator is not allowed to change a reason or number in this access entry.,1,{decision: deny; subject: administrator; action: change; resource: reason; purpose: none; condition: none | decision: deny; subject: administrator; action: change; resource: number; purpose: none; condition: none},collected_train
139,"Many PC users, with the exception of one or more authors of an essay, can know who the reviewers of a project are.",1,{decision: allow; subject: pc users; action: know; resource: reviewers of a project; purpose: none; condition: none | decision: deny; subject: authors of an essay; action: know; resource: reviewers of a project; purpose: none; condition: none},collected_train
140,Privacy laws require that the information be held for a certain period after a resident leaves the facility.,0,{decision: allow; subject: none; action: hold; resource: information; condition: none; purpose: none},na
141,The health care personnel does not confirm the selection and is prompted to try again.,1,{decision: deny; subject: health care personnel; action: confirm; resource: selection; condition: none; purpose: none | decision: allow; subject: health care personnel; action: try; resource: again; condition: none; purpose: none},acre
142,"After a message is sent, the patient or personal representative is directed to his message outbox.",1,{decision: allow; subject: none; action: direct; resource: patient; purpose: none; condition: message is sent | decision: allow; subject: none; action: direct; resource: personal representative; purpose: none; condition: message is sent},t2p
143," ""Only managers and supervisors can access performance reports of their respective teams.""",1,{decision: allow; subject: managers; action: access; resource: performance reports; condition: none; purpose: none | decision: allow; subject: supervisors; action: access; resource: performance reports; condition: none; purpose: none},collected_train
144,All events are logged (UC5).,0,{decision: allow; subject: none; action: log; resource: all events; condition: none; purpose: none},na
145,All the students enrolled in a particular course offering.,0,{decision: allow; subject: none; action: enroll; resource: students enrolled in a particular course offering; condition: none; purpose: none},na
146,An HCP is a registered user of the iTrust Medical Records system (UC2).,0,{decision: allow; subject: hcp; action: register; resource: itrust medical records system; condition: none; purpose: none},na
147,He applied a turn to keep from bleeding to death .,0,{decision: allow; subject: he; action: apply; resource: turn; condition: none; purpose: to keep from bleeding to death},na
