,input,acp,output
57,The HCP must remain on the office visit page.,1,{decision: allow; subject: hcp; action: remain; resource: office visit page; purpose: none; condition: none}
58,The patient can select a diagnosis.,1,{decision: allow; subject: patient; action: select; resource: diagnosis; purpose: none; condition: none}
59,System displays the details for the laboratory procedure in a new page.,1,{decision: allow; subject: system; action: display; resource: details for the laboratory procedure; purpose: none; condition: none}
60,System presents a listing of all drug interactions with that drug.,1,{decision: allow; subject: system; action: present; resource: listing of all drug interactions; purpose: none; condition: none}
61,An LHCP views the physiologic data monitoring details.,1,{decision: allow; subject: lhcp; action: view; resource: physiologic data monitoring details; purpose: none; condition: none}
62,The patient chooses prescription report.,1,{decision: allow; subject: patient; action: choose; resource: prescription report; purpose: none; condition: none}
63,A user enters their MID and their password to gain role-based entry into iTrust.,1,{decision: allow; subject: user; action: enter; resource: mid; purpose: gain role-based entry into itrust; condition: none | decision: allow; subject: user; action: enter; resource: password; purpose: gain role-based entry into itrust; condition: none}
64,"The HCP can view a list of laboratory procedures and results, sorted by the date of the last status update, most recent first.",1,{decision: allow; subject: hcp; action: view; resource: list of laboratory procedures; purpose: none; condition: none | decision: allow; subject: hcp; action: view; resource: result; purpose: none; condition: none}
65,The LHCP enters the representative's MID.,1,{decision: allow; subject: lhcp; action: enter; resource: representatives mid; purpose: none; condition: none}
66,"A patient inputs his weight, height or pedometer readings.",1,{decision: allow; subject: patient; action: input; resource: weight; purpose: none; condition: none | decision: allow; subject: patient; action: input; resource: height; purpose: none; condition: none | decision: allow; subject: patient; action: input; resource: pedometer reading; purpose: none; condition: none}
67,"An LHCP can see the blood pressure and glucose levels, weight, height, and pedometer readings for the patients he or she is monitoring, with two separate lists for physiologic and height or weight or pedometer readings.",1,{decision: allow; subject: lhcp; action: see; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: lhcp; action: see; resource: glucose level; purpose: none; condition: none | decision: allow; subject: lhcp; action: see; resource: weight; purpose: none; condition: none | decision: allow; subject: lhcp; action: see; resource: height; purpose: none; condition: none | decision: allow; subject: lhcp; action: see; resource: pedometer reading; purpose: none; condition: none}
68,"The user selects a prescription from the calendar to read its details by clicking the ""Read Details"" link beside or below the medication displayed for the prescription.",1,{decision: allow; subject: user; action: select; resource: prescription; purpose: read its details; condition: none}
69,System presents a listing of all his patients to view weight or pedometer data reported during the current date.,1,{decision: allow; subject: system; action: present; resource: listing of all his patients; purpose: view weight or pedometer data reported during the current date; condition: none}
70,An HCP creates patients.,1,{decision: allow; subject: hcp; action: create; resource: patient; purpose: none; condition: none}
71,"The administrator stores the ICD-9CM code, a classification and the name of the diagnosis.",1,{decision: allow; subject: administrator; action: store; resource: name of the diagnosis; purpose: none; condition: none | decision: allow; subject: administrator; action: store; resource: icd-9cm code; purpose: none; condition: none | decision: allow; subject: administrator; action: store; resource: classification; purpose: none; condition: none}
72,"System presents a listing of all their own diagnoses, sorted by diagnosis date (more recent first).",1,{decision: allow; subject: system; action: present; resource: diagnoses; purpose: none; condition: none}
73,The administrator maintains a listing of allowable drugs.,1,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable drugs; purpose: none; condition: none}
74,The LHCP can select a patient to obtain additional information about a patient.,1,{decision: allow; subject: lhcp; action: select; resource: patient; purpose: obtain additional information about a patient; condition: none}
75,The administrator is allowed to set the length of this period of time.,1,{decision: allow; subject: administrator; action: set; resource: length of this period of time; purpose: none; condition: none}
76,The administrator maintains the overriding reasons that an HCP can select from.,1,{decision: allow; subject: administrator; action: maintain; resource: overriding reasons; purpose: none; condition: none}
77,"He can report the height, weight and pedometer readings for the patient.",1,{decision: allow; subject: he; action: report; resource: height; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: weight; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: pedometer reading; purpose: none; condition: none}
78,"The patient opens the message to which he or she wishes to reply, and then clicks the reply link above the message text.",1,{decision: allow; subject: patient; action: open; resource: message; purpose: reply; condition: none | decision: allow; subject: patient; action: click; resource: reply link; purpose: none; condition: none}
79,An LHCP or UAP creates a list of patients (by MID) for which he or she will monitor remotely.,1,{decision: allow; subject: lhcp; action: create; resource: list of patients; purpose: none; condition: none | decision: allow; subject: uap; action: create; resource: list of patients; purpose: none; condition: none}
80,"The user selects a laboratory procedure from the calendar to read its details by clicking the ""Read Details"" link beside or below the LOINC code displayed for the laboratory procedure.",1,{decision: allow; subject: user; action: select; resource: laboratory procedure; purpose: read its details; condition: none}
81,"After a message is sent, the LHCP is directed to his message outbox.",1,{decision: allow; subject: none; action: direct; resource: lhcp; purpose: none; condition: message is sent}
82,The patient or the personal representative can view a list of their own prescriptions or the prescriptions for whom the user is a person representative by choosing one patient from a a list of these patients.,1,{decision: allow; subject: patient; action: view; resource: list of their own prescriptions; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: list of prescriptions for whom the user is a person representative; purpose: none; condition: none | decision: allow; subject: personal representative; action: view; resource: list of their own prescriptions; purpose: none; condition: none | decision: allow; subject: personal representative; action: view; resource: list of prescriptions for whom the user is a person representative; purpose: none; condition: none}
83,System presents a text box to HCP.,1,{decision: allow; subject: system; action: present; resource: text box; purpose: none; condition: none}
84,"A UAP or patient representative can input the blood pressure, glucose levels, height, weight, or pedometer readings for a patient.",1,{decision: allow; subject: uap; action: input; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: uap; action: input; resource: glucose level; purpose: none; condition: none | decision: allow; subject: uap; action: input; resource: weight; purpose: none; condition: none | decision: allow; subject: uap; action: input; resource: height; purpose: none; condition: none | decision: allow; subject: uap; action: input; resource: pedometer reading; purpose: none; condition: none | decision: allow; subject: patient representative; action: input; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: patient representative; action: input; resource: glucose level; purpose: none; condition: none | decision: allow; subject: patient representative; action: input; resource: weight; purpose: none; condition: none | decision: allow; subject: patient representative; action: input; resource: height; purpose: none; condition: none | decision: allow; subject: patient representative; action: input; resource: pedometer reading; purpose: none; condition: none}
85,The administrator is allowed to modify the reason name in an existing entry.,1,{decision: allow; subject: administrator; action: modify; resource: reason name; purpose: none; condition: none}
86,The patient can add the HCP to their list of providers.,1,{decision: allow; subject: patient; action: add; resource: hcp; purpose: none; condition: none}
87,The administrator maintains a listing of allowable immunizations.,1,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable immunizations; purpose: none; condition: none}
88,"A patient, personal representative or LHCP views prescription reports.",1,{decision: allow; subject: patient; action: view; resource: prescription report; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: prescription report; purpose: none; condition: none | decision: allow; subject: personal representative; action: view; resource: prescription report; purpose: none; condition: none}
89,"The patient views the list sorted by dates, most recent access first.",1,{decision: allow; subject: patient; action: view; resource: list; purpose: none; condition: none}
90,"System displays the details for the visit in a new page, including date of office visit, note text, diagnoses (i.e., ICD-9CM codes), medical procedures performed (i.e., CPT code) , lab procedures ordered (LOINC code, see Data Format 6.11), medications prescribed (i.e., NDC, see Data Format 5.6), immunizations given (i.e., CPT Code, see UC15, S1), and the name of the doctor who prescribed the medication.",1,{decision: allow; subject: system; action: display; resource: details for the visit; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: note text; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: diagnoses; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: medical procedures performed; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: lab procedures ordered; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: medications prescribed; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: immunizations given; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: name of the doctor who prescribed the medication; purpose: none; condition: none}
91,The patient types the subject and the text of a message.,1,{decision: allow; subject: patient; action: type; resource: subject; purpose: none; condition: none | decision: allow; subject: patient; action: type; resource: text of a message; purpose: none; condition: none}
92,The LHCP clicks the reply link above the message text.,1,{decision: allow; subject: lhcp; action: click; resource: reply link; purpose: none; condition: none}
93,The representative views his message inbox.,1,{decision: allow; subject: representative; action: view; resource: message inbox; purpose: none; condition: none}
94,"The HCP can indicate that the patient has passed away, providing an appropriate diagnosis code.",1,{decision: allow; subject: hcp; action: indicate; resource: patient; purpose: none; condition: none}
95,The user can select an office visit from the calendar to read the visit's details.,1,{decision: allow; subject: user; action: select; resource: office visit; purpose: read the visit’s details; condition: none}
96,"The LHCP, the patient or the representative clicks the ""Cancel"" button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter).",1,{decision: allow; subject: lhcp; action: click; resource: cancel button; purpose: cancel the modifications of the filter; condition: none | decision: allow; subject: patient; action: click; resource: cancel button; purpose: cancel the modifications of the filter; condition: none | decision: allow; subject: representative; action: click; resource: cancel button; purpose: cancel the modifications of the filter; condition: none}
97,The administrator records a drug interaction between two prescription drugs.,1,{decision: allow; subject: administrator; action: record; resource: drug interaction; purpose: none; condition: none}
98,The LHCP must confirm the delete.,1,{decision: allow; subject: lhcp; action: confirm; resource: delete; purpose: none; condition: none}
99,The administrator deletes a drug interaction between two prescription drugs.,1,{decision: allow; subject: administrator; action: delete; resource: drug interaction; purpose: none; condition: none}
100,"The administrator adds a new entry for an appointment type, including its type name with up to 30 alpha characters and duration in the unit of minutes.",1,{decision: allow; subject: administrator; action: add; resource: entry; purpose: none; condition: none}
101,The answers to the survey are stored.,1,{decision: allow; subject: none; action: store; resource: answer; purpose: none; condition: none}
102,"A personal health representative views basic information about his designated LHCPs, including the name, phone number, and contact email information.",1,{decision: allow; subject: personal health representative; action: view; resource: information; purpose: none; condition: none}
103,An LHCP can delete a patient from his monitoring list by the LHCP typing the the patient's MID.,1,{decision: allow; subject: lhcp; action: delete; resource: patient; purpose: none; condition: none}
104,"Any event which views, creates, edits or deletes information is logged.",1,{decision: allow; subject: event; action: view; resource: information; purpose: none; condition: none | decision: allow; subject: event; action: edit; resource: information; purpose: none; condition: none | decision: allow; subject: event; action: create; resource: information; purpose: none; condition: none | decision: allow; subject: event; action: delete; resource: information; purpose: none; condition: none | decision: allow; subject: none; action: log; resource: information; purpose: none; condition: none}
105,The administrator is not allowed to modify the reason ID number in an existing entry.,1,{decision: deny; subject: administrator; action: modify; resource: reason id number; purpose: none; condition: none}
106,The administrator can choose the hospitals.,1,{decision: allow; subject: administrator; action: choose; resource: hospital; purpose: none; condition: none}
107,The administrator stores information of a LOINC code.,1,{decision: allow; subject: administrator; action: store; resource: information; purpose: none; condition: none}
108,The administrator is not allowed to modify the appointment type name in an existing entry.,1,{decision: allow; subject: administrator; action: modify; resource: appointment type name; purpose: none; condition: none}
109,He can report the blood pressure and glucose levels for the patient.,1,{decision: allow; subject: he; action: report; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: glucose level; purpose: none; condition: none}
110,The administrator selects one drug.,1,{decision: allow; subject: administrator; action: select; resource: drug; purpose: none; condition: none}
111,"A patient renews the patient's expired prescriptions (i.e., prescriptions' end dates are earlier than the current date) and therefore finds the LHCPs who earlier wrote the patient's expired prescriptions (it is assumed that the doctors who wrote prescriptions are all LHCPs so no LHCP checks on the prescription-writing doctors are needed).",1,{decision: allow; subject: patient; action: renew; resource: expired prescription; purpose: none; condition: none | decision: allow; subject: patient; action: find; resource: lhcp; purpose: none; condition: none}
112,A patient's DLHCP adds a patient's personal representative by typing that person's MID.,1,{decision: allow; subject: dlhcp; action: add; resource: personal representative; purpose: none; condition: none}
113,System presents a success or failure message to the editor.,1,{decision: allow; subject: system; action: present; resource: success message; purpose: none; condition: none | decision: allow; subject: system; action: present; resource: failure message; purpose: none; condition: none}
114,The HCP enters a MID  or name of a patient and confirms their selection.,1,{decision: allow; subject: hcp; action: enter; resource: mid; purpose: none; condition: none | decision: allow; subject: hcp; action: enter; resource: name of a patient; purpose: none; condition: none | decision: allow; subject: hcp; action: confirm; resource: selection; purpose: none; condition: none}
115,System presents the LHCPs in the patient's living area (based upon the first three numbers of their zip code) who have handled this diagnosis in the last three years.,1,{decision: allow; subject: system; action: present; resource: lhcp; purpose: none; condition: none}
116,The patient then chooses the beginning and end date for the period of time.,1,{decision: allow; subject: patient; action: choose; resource: beginning date; purpose: none; condition: none | decision: allow; subject: patient; action: choose; resource: end date; purpose: none; condition: none}
117,The data for personnel can be edited according to Data Format 6.2 (all fields mandatory except for associated MID and Street Address 2).,1,{decision: allow; subject: none; action: edit; resource: data; purpose: none; condition: none}
118,The user can select a prescription from the calendar to read the prescription's details.,1,{decision: allow; subject: user; action: select; resource: prescription; purpose: read the prescription’s details; condition: none}
119,"They can see diagnoses of blood pressure, high cholesterol, diabetes, cancer, heart disease, smoking, and the cause of death.",1,{decision: allow; subject: they; action: see; resource: diagnoses of blood pressure; purpose: none; condition: none | decision: allow; subject: they; action: see; resource: diagnoses cholesterol; purpose: none; condition: none | decision: allow; subject: they; action: see; resource: diagnoses of diabetes; purpose: none; condition: none | decision: allow; subject: they; action: see; resource: diagnoses of cancer; purpose: none; condition: none | decision: allow; subject: they; action: see; resource: diagnoses of heart disease; purpose: none; condition: none | decision: allow; subject: they; action: see; resource: diagnoses of smoking; purpose: none; condition: none | decision: allow; subject: they; action: see; resource: cause of death; purpose: none; condition: none}
120,A fake email is sent to the LHCP alerting the user that a new message has arrived.,1,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none}
121,The administrator maintains a listing of allowable physical services (including laboratory procedures) that an HCP can use.,1,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable physical services; purpose: none; condition: none}
122,"On the patient homepage, the Patient views a notification center.",1,{decision: allow; subject: patient; action: view; resource: notification center; purpose: none; condition: none}
123,The LHCP enters a patient's MID and confirms his input.,1,{decision: allow; subject: lhcp; action: enter; resource: mid; purpose: none; condition: none | decision: allow; subject: lhcp; action: confirm; resource: input; purpose: none; condition: none}
124,A patient inputs his blood pressure or glucose levels.,1,{decision: allow; subject: patient; action: input; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: patient; action: input; resource: glucose level; purpose: none; condition: none}
125,"The user selects an office visit from the calendar to read its details by clicking the ""Read Details"" link beside or below the ICD-9CM code (i.e., diagnose).",1,{decision: allow; subject: user; action: select; resource: office visit; purpose: read its details; condition: none}
126,The notification center displays the message (You haven't entered remote monitoring information for today yet!),1,{decision: allow; subject: notification center; action: display; resource: message; purpose: none; condition: none}
127,"A patient or personal health representative can view a list of his upcoming appointments for himself or herself, as well as appointments for the patients he represents.",1,{decision: allow; subject: patient; action: view; resource: list of his upcoming appointments; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: list of appointments; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: list of his upcoming appointments; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: list of appointments; purpose: none; condition: none}
128,A patient finds the LHCPs who have handled that condition.,1,{decision: allow; subject: patient; action: find; resource: lhcp; purpose: none; condition: none}
129,"The admin must specify a specialty for a new LHCP (one of: General Physician, Heart Surgeon, OB or GYN, Pediatrician, Surgeon).",1,{decision: allow; subject: admin; action: specify; resource: specialty; purpose: none; condition: none}
130,"The patient may type a last name or partial last name, and optionally reduces the list of choices by providing the specialty.",1,{decision: allow; subject: patient; action: type; resource: last name; purpose: none; condition: none | decision: allow; subject: patient; action: type; resource: partial last name; purpose: none; condition: none | decision: allow; subject: patient; action: reduce; resource: list of choices; purpose: none; condition: none}
131,A message of the removal is sent to the adverse event reporter and to the LHCP.,1,{decision: allow; subject: none; action: send; resource: message; purpose: none; condition: none}
132,"The representative opens the message to which he or she wishes to reply, and then clicks the reply link above the message text.",1,{decision: allow; subject: representative; action: open; resource: message; purpose: reply; condition: none | decision: allow; subject: representative; action: click; resource: reply link; purpose: none; condition: none}
133,Both patients and LHCPs can view a list of their upcoming appointments.,1,{decision: allow; subject: patient; action: view; resource: list of their upcoming appointments; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: list of their upcoming appointments; purpose: none; condition: none}
134,A LHCP enters an UAP as a user of system according to data format 6.2 (all fields mandatory).,1,{decision: allow; subject: lhcp; action: enter; resource: uap; purpose: none; condition: none}
135,The patient chooses drugs for which to report the adverse event.,1,{decision: allow; subject: patient; action: choose; resource: drug; purpose: report the adverse event; condition: none}
136,"When the chosen patient satisfies the preconditions of the chosen chronic disease, the LHCP is provided with a warning message.",1,{decision: allow; subject: none; action: provide; resource: warning message; purpose: none; condition: chosen patient satisfies the preconditions of the chosen chronic disease}
